element_type,osmid,amenity,name,geometry,building,man_made,name:en,capacity,phone,addr:city,addr:district,addr:postcode,addr:province,addr:street,fee,leisure,nodes,building:levels,height,shop,healthcare,wheelchair,name:zh,tourism,int_name,alt_name,name_1,wikidata,addr:housenumber,website,opening_hours,addr:housename,description,cuisine,fast_food,level,opening_hours:covid19,note,bicycle_parking,covered,supervised,power,takeaway,layer,access,female,toilets:disposal,male,name:zh-Hans,ways,type
way,104449519,,39栋,"POLYGON ((114.3534679 30.5344373, 114.3534429 30.5344491, 114.3534862 30.5345171, 114.3539147 30.5343144, 114.3538521 30.5342162, 114.3536058 30.5343327, 114.3535794 30.5342913, 114.3534222 30.5343657, 114.3534679 30.5344373))",yes,,,,,,,,,,,,"[9681698201, 9681698202, 9681698204, 9681698203, 1205088081, 9681698199, 9681698200, 1205088090, 9681698201]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104449520,,37栋,"POLYGON ((114.3521813 30.5345945, 114.3528101 30.5345917, 114.3528096 30.5345068, 114.3521808 30.5345095, 114.3521813 30.5345945))",yes,,,,,,,,,,,,"[9681727771, 9681727764, 9681727765, 9681727768, 9681727771]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104449521,,38栋,"POLYGON ((114.35288 30.5345914, 114.3533662 30.5345893, 114.3533657 30.5345043, 114.3528795 30.5345064, 114.35288 30.5345914))",yes,,,,,,,,,,,,"[9681727767, 9681727770, 9681727769, 9681727766, 9681727767]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104449602,,1栋,"POLYGON ((114.3539958 30.5323709, 114.353996 30.532282, 114.3546101 30.532283, 114.3546099 30.5323719, 114.3539958 30.5323709))",yes,,,,,,,,,,,,"[1205089014, 1205089144, 1205089148, 1205089091, 1205089014]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104449604,,院士楼4号,"POLYGON ((114.3529304 30.5322087, 114.3527744 30.5322005, 114.3527836 30.5320697, 114.3529396 30.5320779, 114.3529304 30.5322087))",yes,,,,,,,,,,,,"[1205088965, 1205089023, 1205089102, 1205089088, 1205088965]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104449606,,院士楼2号,"POLYGON ((114.3531688 30.5322472, 114.3530388 30.5322179, 114.3530799 30.5320826, 114.3532099 30.5321119, 114.3531688 30.5322472))",yes,,,,,,,,,,,,"[1205088983, 1205089108, 1205088991, 1205089137, 1205088983]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104449609,,21栋,"POLYGON ((114.3527661 30.533519, 114.3532487 30.5335226, 114.3532475 30.5336428, 114.3527649 30.5336392, 114.3527661 30.533519))",yes,,,,,,,,,,,,"[1205089029, 1205089147, 1205089086, 1205089066, 1205089029]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104449612,,25栋,"POLYGON ((114.3528484 30.5332132, 114.3535125 30.5332171, 114.3535114 30.5333569, 114.3528473 30.533353, 114.3528484 30.5332132))",yes,,,,,,,,,,,,"[1205089149, 1205089094, 1205088971, 1205089150, 1205089149]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104449614,,16栋,"POLYGON ((114.3540319 30.5329683, 114.3540345 30.5328397, 114.3546388 30.5328488, 114.3546362 30.5329775, 114.3540319 30.5329683))",yes,,,,,,,,,,,,"[1205089114, 1205089092, 1205089061, 1205089100, 1205089114]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104449615,,,"POLYGON ((114.3533643 30.5323222, 114.353233 30.5322715, 114.3532961 30.5321501, 114.3534275 30.5322008, 114.3533643 30.5323222))",yes,,,,,,,,,,,,"[1205089101, 1205089003, 1205089052, 1205088990, 1205089101]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104449616,,13栋,"POLYGON ((114.3536076 30.5326359, 114.3539348 30.5326359, 114.3539348 30.5327284, 114.3536076 30.5327284, 114.3536076 30.5326359))",yes,,,,,,,,,,,,"[1205089026, 1205089093, 1205089033, 1205089121, 1205089026]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104449618,,19栋,"POLYGON ((114.3539818 30.5335985, 114.3539823 30.5334806, 114.3544783 30.5334824, 114.354478 30.5335408, 114.3544777 30.5336003, 114.3544186 30.5336001, 114.3539818 30.5335985))",yes,,,,,,,,,,,,"[1205089089, 1205089099, 1205089081, 9558228577, 1205089106, 9558228579, 1205089089]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104449619,,国际交流中心,"POLYGON ((114.3525096 30.533389, 114.3522221 30.5333903, 114.3522212 30.5332321, 114.3523009 30.5332318, 114.3522995 30.532988, 114.3525244 30.532987, 114.3525248 30.5330627, 114.3526676 30.533062, 114.3526693 30.5333384, 114.3525093 30.5333391, 114.3525096 30.533389))",yes,,,,,,,,,,,,"[1205088973, 1205089098, 1205089031, 1205089087, 1205089117, 1205089007, 1205088981, 1205088979, 1205089064, 1205089067, 1205088973]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104449620,,20栋,"POLYGON ((114.353388 30.5336364, 114.3533905 30.53353, 114.3538718 30.5335382, 114.3538693 30.5336446, 114.353388 30.5336364))",yes,,,,,,,,,,,,"[1205089096, 1205089068, 1205089028, 1205089009, 1205089096]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104449621,,15栋,"POLYGON ((114.3534845 30.5329754, 114.3534853 30.5328611, 114.3539681 30.5328638, 114.3539673 30.5329782, 114.3534845 30.5329754))",yes,,,,,,,,,,,,"[1205088967, 1205088992, 1205088969, 1205089103, 1205088967]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104449622,,12栋,"POLYGON ((114.3534866 30.532617, 114.3530534 30.53246, 114.3530951 30.5323746, 114.3535284 30.5325315, 114.3534866 30.532617))",yes,,,,,,,,,,,,"[1205089135, 1205088986, 1205089036, 1205089078, 1205089135]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104449623,,26栋,"POLYGON ((114.352706 30.5335898, 114.3520797 30.5335917, 114.3520792 30.5334681, 114.3527055 30.5334662, 114.352706 30.5335898))",yes,,,,,,,,,,,,"[1205089128, 1205089084, 1205089119, 1205089110, 1205089128]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104449624,,17栋,"POLYGON ((114.3539151 30.5332699, 114.3539158 30.5331324, 114.354589 30.5331352, 114.3545883 30.5332727, 114.3539151 30.5332699))",yes,,,,,,,,,,,,"[1205089085, 1205089012, 1205089079, 1205089097, 1205089085]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104449625,,14栋,"POLYGON ((114.3539972 30.5326446, 114.3539985 30.5325452, 114.3546046 30.532551, 114.3546033 30.5326504, 114.3539972 30.5326446))",yes,,,,,,,,,,,,"[1205089126, 1205089082, 1205089125, 1205089105, 1205089126]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104449626,,2栋,"POLYGON ((114.3538965 30.5323767, 114.353729 30.5323767, 114.353729 30.5322831, 114.3538965 30.5322831, 114.3538965 30.5323767))",yes,,,,,,,,,,,,"[1205088963, 1205089146, 1205088989, 1205089083, 1205088963]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104449627,,,"POLYGON ((114.3535745 30.5323688, 114.3534042 30.5323126, 114.3534436 30.5322239, 114.3536139 30.53228, 114.3535745 30.5323688))",yes,,,,,,,,,,,,"[1205089030, 1205089077, 1205089142, 1205089080, 1205089030]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104449642,,34栋,"POLYGON ((114.3527594 30.5343449, 114.352759 30.5342553, 114.3523164 30.5342566, 114.3523168 30.5343461, 114.3527594 30.5343449))",yes,,,,,,,,,,,,"[1205089236, 1205089238, 1205089212, 1205089208, 1205089236]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104449643,,29栋,"POLYGON ((114.35214 30.5338161, 114.3526053 30.5338134, 114.3526062 30.5339266, 114.3521409 30.5339293, 114.35214 30.5338161))",yes,,,,,,,,,,,,"[1205089209, 1205089221, 1205089224, 1205089217, 1205089209]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104449644,,27栋,"POLYGON ((114.3533872 30.5339231, 114.3533909 30.5337914, 114.3537986 30.5337998, 114.3537949 30.5339315, 114.3533872 30.5339231))",yes,,,,,,,,,,,,"[1205089210, 1205089220, 1205089215, 1205089227, 1205089210]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104449645,,31栋,"POLYGON ((114.3533461 30.5340446, 114.3529414 30.5340458, 114.3529417 30.5341363, 114.3533464 30.5341352, 114.3533461 30.5340446))",yes,,,,,,,,,,,,"[1205089232, 1205089223, 1205089237, 1205089229, 1205089232]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104449646,,33栋,"POLYGON ((114.3533196 30.5342537, 114.3529206 30.5342548, 114.3529209 30.5343444, 114.3533199 30.5343432, 114.3533196 30.5342537))",yes,,,,,,,,,,,,"[1205089214, 1205089218, 1205089231, 1205089216, 1205089214]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104449647,,35栋,"POLYGON ((114.3540031 30.533977, 114.3540038 30.5338926, 114.3544757 30.5338954, 114.354475 30.5339799, 114.3540031 30.533977))",yes,,,,,,,,,,,,"[1205089228, 1205089205, 1205089222, 1205089211, 1205089228]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104449648,,28栋,"POLYGON ((114.3527705 30.533937, 114.3527711 30.5338145, 114.3532431 30.5338163, 114.3532425 30.5339387, 114.3527705 30.533937))",yes,,,,,,,,,,,,"[1205089213, 1205089203, 1205089207, 1205089225, 1205089213]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104449649,,30栋,"POLYGON ((114.3535162 30.5341133, 114.3535153 30.5340299, 114.3539551 30.5340269, 114.3539564 30.5341116, 114.3535162 30.5341133))",yes,,,,,,,,,,,,"[1205089234, 1205089206, 1205089226, 1205089219, 1205089234]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104449650,,32栋,"POLYGON ((114.3523057 30.5341382, 114.3527631 30.5341368, 114.3527627 30.5340463, 114.3523054 30.5340476, 114.3523057 30.5341382))",yes,,,,,,,,,,,,"[9681727772, 1205089235, 1205089230, 1205089204, 9681727772]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104450163,,老年活动中心,"POLYGON ((114.355398 30.5328057, 114.355487 30.5328069, 114.3554885 30.5327248, 114.3559723 30.5327313, 114.3559737 30.5326511, 114.3554855 30.5326446, 114.3554422 30.5326517, 114.3554153 30.5326734, 114.3553998 30.5327049, 114.355398 30.5328057))",yes,,,,,,,,,,,,"[1205097149, 1205097148, 1205097157, 1205097156, 1205097153, 2134380513, 2134380498, 1205097152, 2134380499, 1205097149]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104450740,,,"POLYGON ((114.3492252 30.5312634, 114.3492304 30.5311826, 114.3494516 30.5311932, 114.3494464 30.531274, 114.3492252 30.5312634))",yes,,,,,,,,,,,,"[1205101521, 1205101547, 1205101520, 1205101535, 1205101521]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104450742,,,"POLYGON ((114.3485769 30.5300366, 114.3487574 30.5299835, 114.3488981 30.5303383, 114.3490129 30.5303045, 114.3490968 30.5305161, 114.3488015 30.530603, 114.3485769 30.5300366))",yes,,,,,,,,,,,,"[1205101515, 1205101533, 1205101544, 1205101529, 1205101517, 1205101516, 1205101515]",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104450746,,,"POLYGON ((114.3494177 30.529183, 114.3494214 30.5291217, 114.349589 30.5291292, 114.3495853 30.5291905, 114.3494177 30.529183))",yes,,,,,,,,,,,,"[1205101522, 1205101514, 1205101511, 1205101530, 1205101522]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104450748,,,"POLYGON ((114.349248 30.5310313, 114.3494434 30.5310427, 114.3494325 30.5311816, 114.349237 30.5311702, 114.349248 30.5310313))",yes,,,,,,,,,,,,"[1205101531, 1205101512, 1205101527, 1205101542, 1205101531]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,111786806,,南极电脑城,"POLYGON ((114.3543715 30.5274376, 114.3543322 30.527343, 114.3548111 30.5271951, 114.354854 30.5272367, 114.3549549 30.5275089, 114.3547211 30.5275732, 114.3546175 30.5276017, 114.3545903 30.5275285, 114.3544229 30.5275745, 114.3543984 30.5275083, 114.3541861 30.5275668, 114.3541478 30.5275034, 114.3543715 30.5274376))",yes,,,,,,,,,,,,"[1272831168, 8824043553, 1272831150, 1272831147, 1272831149, 9155695901, 1272831162, 1272831160, 1272831164, 1272831169, 8824043552, 1272831180, 1272831168]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,127025727,,2号教学楼,"POLYGON ((114.3564314 30.5289112, 114.3564306 30.5287263, 114.3565746 30.5287265, 114.3565748 30.5287526, 114.3567797 30.5287512, 114.3569664 30.5287492, 114.3571107 30.5287483, 114.3571101 30.5286819, 114.3572379 30.5286811, 114.35724 30.5289218, 114.3571098 30.5289226, 114.3571097 30.5289081, 114.3564314 30.5289112))",yes,,,,,,,,,,,,"[1406776211, 1406776210, 5197464857, 5197464858, 4052353057, 2122526299, 2122526297, 1201323402, 5197464859, 1201323471, 5197464865, 5197464866, 1406776211]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,127025728,,1号教学楼东（原附2教学楼）,"POLYGON ((114.3564315 30.5289192, 114.3563179 30.5289196, 114.3562332 30.52892, 114.3562318 30.5287233, 114.3562318 30.5287046, 114.3563199 30.5287046, 114.3564307 30.5287051, 114.3564306 30.5287263, 114.3564314 30.5289112, 114.3564315 30.5289192))",yes,,,,,,,,,,,,"[5197464864, 1205470751, 1406776212, 5197464845, 1406776208, 1205470756, 5197464844, 1406776210, 1406776211, 5197464864]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,127025729,,1号教学楼,"POLYGON ((114.3551774 30.5289264, 114.3551757 30.5287232, 114.3553084 30.5287224, 114.3553086 30.5287454, 114.3555909 30.5287437, 114.3555905 30.5286973, 114.3558168 30.5286959, 114.3558172 30.5287443, 114.3561011 30.5287425, 114.3561009 30.5287241, 114.3562318 30.5287233, 114.3562332 30.52892, 114.3551774 30.5289264))",yes,,,,,,,,,,,,"[1406776209, 1406776213, 5197464840, 5197464842, 5197464839, 5197464838, 5197464837, 5197464847, 5197464846, 5197464843, 5197464845, 1406776212, 1406776209]",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,127025730,,1号教学楼西（原附1教学楼）,"POLYGON ((114.3549742 30.5289283, 114.3549717 30.528908, 114.3549705 30.5287358, 114.3549714 30.528709, 114.3550639 30.5287104, 114.3551772 30.5287078, 114.3551757 30.5287232, 114.3551774 30.5289264, 114.3550656 30.5289281, 114.3549742 30.5289283))",yes,,,,,,,,,,,,"[1406776206, 5197464856, 5197464855, 1406776207, 1205470750, 5197464841, 1406776213, 1406776209, 1205470752, 1406776206]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,127025731,,印刷包装系（3号教学楼）,"POLYGON ((114.3549717 30.528908, 114.3541756 30.5289096, 114.3541752 30.5286836, 114.3542657 30.5286835, 114.3542658 30.5287609, 114.3543042 30.5287608, 114.3544398 30.52876, 114.3548419 30.5287579, 114.3548417 30.5287364, 114.3549705 30.5287358, 114.3549717 30.528908))",yes,,,,,,,,,,,,"[5197464856, 1201323448, 1201323454, 5197464854, 5197464853, 1201323412, 1201323392, 5197464852, 3102018212, 5197464855, 5197464856]",,,,,,,,,,,,,,,3号教学楼,,,,,,,,,,,,,,,,,,,
way,128247469,,茶港区122栋,"POLYGON ((114.3499787 30.5404098, 114.3505646 30.5405375, 114.35053 30.5406553, 114.3499441 30.5405276, 114.3499787 30.5404098))",yes,,,,,,,,,,,,"[1417701783, 1417701825, 1417701873, 1417701863, 1417701783]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128247470,,茶港区105号楼,"POLYGON ((114.3497654 30.5413916, 114.3501346 30.541271, 114.3501695 30.5413505, 114.3498003 30.541471, 114.3497654 30.5413916))",yes,,,,,,,,,,,,"[1417701871, 1417701762, 1417701760, 1417701776, 1417701871]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128247471,,,"POLYGON ((114.3504203 30.5417873, 114.350971 30.541614, 114.3510054 30.5416951, 114.3504547 30.5418684, 114.3504203 30.5417873))",yes,,,,,,,,,,,,"[1417701788, 1417701835, 1417701853, 1417701839, 1417701788]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128247472,,工学部教工122栋,"POLYGON ((114.350083 30.5401378, 114.3506449 30.5402579, 114.3506149 30.5403618, 114.3500531 30.5402416, 114.350083 30.5401378))",yes,,,,,,,,,,,,"[1417701777, 1417701779, 1417701742, 1417701793, 1417701777]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128247475,,工学部教工106栋,"POLYGON ((114.3501312 30.5410784, 114.3500994 30.5410027, 114.3506149 30.540842, 114.3506467 30.5409177, 114.3501312 30.5410784))",yes,,,,,,,,,,,,"[1417701756, 1417701849, 1417701821, 1417701872, 1417701756]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128247476,,工学部教工108栋,"POLYGON ((114.3492548 30.5415157, 114.3498324 30.5416366, 114.3497966 30.5417537, 114.3490196 30.5415904, 114.3491511 30.5412646, 114.3491931 30.5412732, 114.349236 30.5411993, 114.3496705 30.5412894, 114.3496464 30.5414026, 114.3492494 30.5413286, 114.3491985 30.5414095, 114.3492316 30.5414171, 114.3491851 30.5415065, 114.3491234 30.5414996, 114.3491163 30.5415211, 114.349237 30.5415442, 114.3492548 30.5415157))",yes,,,,,,,,,,,,"[1417701874, 1417701836, 1417701837, 1417701794, 1417701827, 1417701826, 1417701812, 1417701870, 1417701743, 1417701867, 1417701864, 1417701860, 1417701815, 1417701790, 1417701814, 1417701748, 1417701874]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128247477,,工学部教工104栋,"POLYGON ((114.3502658 30.5413324, 114.3502355 30.5412618, 114.3507378 30.5411015, 114.3507681 30.5411722, 114.3502658 30.5413324))",yes,,,,,,,,,,,,"[1417701747, 1417701816, 1417701765, 1417701754, 1417701747]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128247478,,,"POLYGON ((114.3494355 30.5411225, 114.3493694 30.5410701, 114.3492729 30.541047, 114.3499432 30.5399053, 114.3499649 30.5399081, 114.3500042 30.5399212, 114.3500068 30.5399651, 114.3499586 30.5399744, 114.3499559 30.5400344, 114.3499237 30.5400437, 114.349913 30.5401384, 114.3498576 30.5401506, 114.3498647 30.540344, 114.3497959 30.5403493, 114.3497476 30.5404371, 114.3498164 30.540448, 114.3498013 30.5405249, 114.3498218 30.5405635, 114.3497494 30.5406212, 114.3496832 30.5405711, 114.3496376 30.5406704, 114.349694 30.540682, 114.349685 30.5407321, 114.3496689 30.5407644, 114.349685 30.5408153, 114.3496018 30.5408799, 114.349516 30.5408453, 114.3494794 30.5409153, 114.3495277 30.5409268, 114.3495026 30.5409862, 114.3495482 30.5410209, 114.3494355 30.5411225))",yes,,,,,,,,,,,,"[1417701800, 1417701753, 1417701772, 1199819158, 1417701746, 1417701741, 1417701780, 1417701737, 1417701824, 1417701823, 1417701770, 1417701766, 1417701845, 1417701843, 1417701817, 1417701851, 1417701852, 1417701807, 1417701801, 1417701781, 1417701745, 1417701755, 1417701749, 1417701803, 1417701868, 1417701789, 1417701787, 1417701773, 1417701866, 1417701778, 1417701857, 1417701800]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128247479,,工学部教工102栋,"POLYGON ((114.350355 30.541608, 114.350322 30.5415325, 114.350869 30.5413554, 114.3509019 30.5414309, 114.350355 30.541608))",yes,,,,,,,,,,,,"[1417701848, 1417701757, 1417701859, 1417701774, 1417701848]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128247480,,工学部教工107栋,"POLYGON ((114.3496666 30.5411358, 114.3500262 30.5410167, 114.350061 30.5410944, 114.3497013 30.5412136, 114.3496666 30.5411358))",yes,,,,,,,,,,,,"[1417701840, 1417701841, 1417701822, 1417701761, 1417701840]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128247481,,工学部教工123栋,"POLYGON ((114.3501838 30.5399083, 114.3501588 30.5399901, 114.3502668 30.5400146, 114.3502578 30.540044, 114.3503642 30.5400682, 114.350388 30.5399904, 114.3503515 30.5399822, 114.3503745 30.539907, 114.3502566 30.5398802, 114.3502439 30.5399219, 114.3501838 30.5399083))",yes,,,,,,,,,,,,"[1417701805, 1417701858, 1417701802, 1417701810, 1417701767, 1417701775, 1417701808, 1417701797, 1417701750, 1417701782, 1417701805]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128247482,,茶港区103栋,"POLYGON ((114.349902 30.5416564, 114.3502611 30.5415394, 114.3502942 30.5416148, 114.3499351 30.5417318, 114.349902 30.5416564))",yes,,,,,,,,,,,,"[1417701809, 1417701769, 1417701846, 1417701795, 1417701809]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128247483,,武汉大学计算机学院,"POLYGON ((114.3517021 30.5416613, 114.3512837 30.5415943, 114.3512902 30.5415165, 114.3512569 30.5415135, 114.3512784 30.5414234, 114.3515734 30.5414603, 114.351611 30.541227, 114.351102 30.5411666, 114.3511335 30.5409914, 114.3516399 30.5410572, 114.3517021 30.5410653, 114.3517182 30.5409752, 114.3516022 30.5409594, 114.3516324 30.5407858, 114.351163 30.5407049, 114.3511925 30.5405663, 114.3512864 30.5405779, 114.3512928 30.5405462, 114.3517343 30.5406171, 114.351722 30.5407125, 114.3521531 30.5407747, 114.3521053 30.5410187, 114.3520186 30.5410122, 114.3520036 30.5411076, 114.3525145 30.5411902, 114.3524834 30.5413607, 114.3520723 30.5413032, 114.3520294 30.5415181, 114.3521002 30.5415534, 114.3521377 30.5416042, 114.3521447 30.5416821, 114.3521233 30.5417537, 114.3520626 30.5418191, 114.3519891 30.5418554, 114.3518953 30.5418623, 114.3518068 30.5418369, 114.3517343 30.5417745, 114.3517129 30.5417144, 114.3517021 30.5416613))",university,,,,,,,,,,,,"[1417701759, 1417701844, 1417701850, 1417701791, 1417701856, 1417701828, 1417701792, 4723392642, 1417701831, 4723392644, 1417701832, 1417701785, 1417701818, 1417701768, 1417701763, 1417701842, 1417701784, 1417701834, 1417701806, 1417701833, 1417701751, 1417701813, 1417701799, 1417701758, 1417701838, 1834198953, 1417701855, 1417701796, 1417701786, 1417701771, 1417701811, 1417701752, 1417701819, 1417701740, 1417701804, 1417701744, 1417701854, 1417701847, 1417701759]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128247499,,,"POLYGON ((114.3509202 30.5391812, 114.3508282 30.5389724, 114.3509356 30.5389373, 114.3510275 30.5391461, 114.3509202 30.5391812))",yes,,,,,,,,,,,,"[1417702045, 1417702058, 1417702008, 1417702040, 1417702045]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128247500,,工学部教工131栋,"POLYGON ((114.3505359 30.5394968, 114.3505658 30.5393937, 114.3506545 30.5394129, 114.3506635 30.5393819, 114.35076 30.5394027, 114.3507366 30.5394829, 114.3507865 30.5394937, 114.3507608 30.5395821, 114.3506305 30.539554, 114.3506405 30.5395194, 114.3505359 30.5394968))",yes,,,,,,,,,,,,"[1417702053, 1417702038, 1417702043, 1417702036, 1417701998, 1417702042, 1417702004, 1417702006, 1417702010, 1417702034, 1417702053]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128247502,,茶港区126栋,"POLYGON ((114.3502167 30.539599, 114.3503142 30.5396217, 114.3503007 30.5396647, 114.3503858 30.5396845, 114.3503597 30.5397679, 114.3502417 30.5397405, 114.3502347 30.5397627, 114.3501362 30.5397398, 114.3501641 30.5396507, 114.350198 30.5396586, 114.3502167 30.539599))",yes,,,,,,,,,,,,"[1417702046, 1417702032, 1417702047, 1417702041, 1417702048, 1417702030, 1417702027, 1417702012, 1417702018, 1417702015, 1417702046]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128247503,,工学部教工127栋,"POLYGON ((114.3504365 30.5400475, 114.350466 30.5399522, 114.3505492 30.5399712, 114.3505564 30.539948, 114.3506684 30.5399737, 114.3506512 30.5400292, 114.3506817 30.5400362, 114.3506558 30.5401201, 114.3504692 30.5400773, 114.3504756 30.5400565, 114.3504365 30.5400475))",yes,,,,,,,,,,,,"[1417702052, 1417702069, 1417702029, 1417702009, 1417702016, 1417702017, 1417702007, 1417701997, 1417702023, 1417701993, 1417702052]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128247504,,工学部教工132栋,"POLYGON ((114.3505192 30.539231, 114.3504776 30.5393356, 114.3503649 30.5393102, 114.3504553 30.5391322, 114.3505845 30.5391554, 114.3505952 30.5391185, 114.3506961 30.5391362, 114.3506783 30.5392016, 114.3507336 30.5392102, 114.3507041 30.5392887, 114.3505861 30.5392702, 114.3505888 30.5392448, 114.3505192 30.539231))",yes,,,,,,,,,,,,"[1417702054, 1417702068, 1417702005, 1417702055, 1417702044, 1417702039, 1417702033, 1417702000, 1417702001, 1417702013, 1417702067, 1417702050, 1417702054]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128247505,,工学部教工129栋,"POLYGON ((114.350462 30.5397853, 114.3505055 30.5396802, 114.3505577 30.5396962, 114.3505769 30.5396499, 114.3506655 30.5396772, 114.3506452 30.5397264, 114.3507123 30.539747, 114.3506854 30.539812, 114.3505839 30.5397808, 114.3505685 30.5398179, 114.350462 30.5397853))",yes,,,,,,,,,,,,"[1417702002, 1417701985, 1417702011, 1417702051, 1417701989, 1417702057, 1417701996, 1417702003, 1417701991, 1417701990, 1417702002]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128247506,,茶港区130栋,"POLYGON ((114.3502624 30.5393839, 114.3503349 30.5394025, 114.3503478 30.5393648, 114.3504403 30.5393884, 114.3504201 30.5394469, 114.3504703 30.5394597, 114.3504374 30.5395553, 114.3503075 30.5395221, 114.3503237 30.5394752, 114.3502385 30.5394534, 114.3502624 30.5393839))",yes,,,,,,,,,,,,"[1417701992, 1417702060, 1417702026, 1417702022, 1417701994, 1417702035, 1417702031, 1417702024, 1417702019, 1417701995, 1417701992]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128247581,,总配电房,"POLYGON ((114.3534496 30.5393565, 114.3536628 30.5393345, 114.3536856 30.5394986, 114.3535992 30.5395075, 114.3535937 30.5394677, 114.3534669 30.5394808, 114.3534496 30.5393565))",office,,,,,,,,,,,,"[1417702643, 1417702633, 1417702600, 1417702654, 1417702672, 1417702693, 1417702643]",,,,,,,,,,,,,,,,假期学生空调售电办理处,,,,,,,,,,,,,,,,,,
way,128247587,bicycle_parking,,"POLYGON ((114.3537136 30.5393158, 114.3537685 30.5393107, 114.3537854 30.539447, 114.3537306 30.5394521, 114.3537136 30.5393158))",hut,,,,,,,,,,no,,"[1417702665, 1417702669, 1417702660, 1417702628, 1417702665]",,,,,,,,,,,,,,,,,,,,,,shed,yes,no,,,,,,,,,,
