element_type,osmid,amenity,geometry,access,description,wheelchair,addr:city,addr:country,addr:housenumber,addr:postcode,addr:state,addr:street,email,phone,operator,parking,fee,building,maxheight,name,opening_hours,layer,emergency,nodes,alt_name,building:levels,roof:levels,capacity,leisure,loc_name,name:zh,sport,start_date,wikidata,wikipedia,roof:shape,image,short_name,building:material,height,man_made,tower:construction,tower:type,internet_access,toilets:wheelchair,website,old_name,source,museum,tourism,ele,gnis:county_id,gnis:created,gnis:feature_id,gnis:state_id,healthcare,operator:wikidata,operator:wikipedia,official_name,smoking,architect,contact:website,landuse,plant:method,plant:output:electricity,plant:output:hot_water,plant:output:steam,plant:source,power,ref:US:EIA,designation,contact:phone,shop,supervised,clock,access:conditional,note,building:levels:underground,max_level,min_level,cuisine,building:use,ref,craft,laundry_service,self_service,check_date,operator:type,shelter,residential,historic,observatory:type,voltage,disused:shop,healthcare:speciality,bus,public_transport,addr:county,building:min_level,surface,substation,construction,ways,type,old_name:1925--2018-03-29,old_name:1964-1975
way,192429436,parking,"POLYGON ((-83.7062497 42.3012494, -83.7060822 42.3012489, -83.705012 42.3012458, -83.7050086 42.3018898, -83.7062463 42.3018933, -83.7062497 42.3012494))",private,Blue,,,,,,,,,,University of Michigan,multi-storey,,parking,,NC100,,,,"[2029853513, 9440430866, 2029853512, 2029853530, 2029853531, 2029853513]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,193357102,,"POLYGON ((-83.7386356 42.2795066, -83.7386353 42.2794777, -83.7386343 42.2793868, -83.7387937 42.2793858, -83.738795 42.2795056, -83.7386356 42.2795066))",,The Charles Baird Carrilon is on the top floor of this building.,,,,,,,,,,University of Michigan,,,yes,,Burton Tower,,,,"[2038620990, 9431741624, 2038620974, 2038620983, 2038620994, 2038620990]",,10,,,,,布尔通钟楼,,,Q5000884,en:Burton Memorial Tower,pyramidal,,BMT,,65,tower,,bell_tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,193805531,,"POLYGON ((-83.7414789 42.2663457, -83.7410317 42.266352, -83.7408684 42.2663543, -83.740868 42.2663394, -83.7407859 42.2663452, -83.7407398 42.2663565, -83.7407049 42.2663617, -83.7406646 42.2663536, -83.7406532 42.2663328, -83.7406546 42.2662707, -83.7406618 42.2661756, -83.7406519 42.2657916, -83.7406654 42.2657918, -83.7414817 42.2657776, -83.74148 42.2657252, -83.7414994 42.2657249, -83.741497 42.2656489, -83.7416348 42.2656465, -83.7416465 42.2661061, -83.7415726 42.2661071, -83.7415745 42.2661826, -83.7414748 42.266184, -83.7414789 42.2663457))",,,,,,,,,,,,University of Michigan,,,university,,Schembechler Hall,,,,"[2043160976, 5599682263, 3967408699, 3967408697, 3967408698, 3967408700, 3967408701, 2043160987, 3967408696, 3967408695, 3967408692, 2043160977, 2007196429, 2007196428, 3967408687, 3967408686, 3967408685, 2043160990, 3967408690, 3967408691, 3967408693, 3967408694, 2043160976]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,193813106,parking,"POLYGON ((-83.7272175 42.2828847, -83.7278955 42.2828765, -83.7278948 42.2837202, -83.7277987 42.2837307, -83.7277454 42.2837315, -83.7277421 42.2837186, -83.7272399 42.2837261, -83.7272371 42.2836779, -83.7271748 42.2836789, -83.7271573 42.2830523, -83.727154 42.2829675, -83.7271518 42.2829353, -83.7272148 42.2829314, -83.7272175 42.2828847))",,,,,,,,,,,,,multi-storey,,yes,,U-M P2 M18 Taubman Structure,,,,"[2043272496, 3222750452, 2043272491, 3065664571, 5324521359, 5324521358, 2043272513, 5324521356, 5324521357, 5324521341, 5324521334, 2043272505, 2043272508, 2043272496]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,193910369,parking,"POLYGON ((-83.7330866 42.2851765, -83.7329524 42.2851757, -83.7324376 42.2851726, -83.7319144 42.2851695, -83.7319151 42.2851043, -83.7319172 42.2849128, -83.73192 42.2846558, -83.7328341 42.2846613, -83.7328334 42.2847234, -83.7330915 42.284725, -83.7330866 42.2851765))",private,,,,,,,,,,,,multi-storey,,yes,,U-M Lot P1 M15 North Entrance Structure,,,,"[2044154248, 5208422498, 5208409801, 2044154441, 2044154438, 4994662336, 2044154257, 2044154321, 2044154262, 2044154342, 2044154248]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,223569638,parking,"POLYGON ((-83.735985 42.2840009, -83.7361857 42.2839954, -83.7362414 42.2839939, -83.7370244 42.2839724, -83.7369913 42.2833108, -83.73699 42.2832856, -83.7368705 42.2832889, -83.7359506 42.2833142, -83.7359519 42.2833404, -83.7359804 42.2839097, -83.735985 42.2840009))",private,,,,,333,,,Glen Street,,,,multi-storey,,yes,,U-M M61 Glen Structure,,,,"[2324517599, 62621809, 4939302615, 2324517604, 5965397317, 2324517602, 5965397320, 2324517606, 4646094453, 4646094457, 2324517599]",,,,1033,,,,,,,,,,,,,,,,,,https://ltp.umich.edu/parking/structureglen.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,permit @ (Mo-Fr 06:00-18:00),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,224112759,,"POLYGON ((-83.720029 42.2936352, -83.7200321 42.2936257, -83.7200743 42.2936321, -83.7203614 42.2931523, -83.7202377 42.2931286, -83.7201907 42.2931118, -83.7199748 42.293501, -83.7194138 42.293415, -83.7194018 42.2934608, -83.7193857 42.2935271, -83.7198498 42.2935985, -83.7198118 42.2937461, -83.7197814 42.2938588, -83.7198348 42.2938716, -83.7195726 42.2943545, -83.7196565 42.294382, -83.7197171 42.2944019, -83.719945 42.2940045, -83.7205122 42.2940895, -83.720539 42.2939745, -83.7204877 42.2939663, -83.7199668 42.2938814, -83.7200216 42.293661, -83.720029 42.2936352))",,,,Ann Arbor,,1931,48109,,Duffield Drive,,,,,,dormitory,,Bursley Hall,,,,"[5324521182, 5324521183, 5324521184, 2329434047, 5324521207, 2329434055, 2329434051, 2329434045, 3025096206, 2329434049, 2329434043, 2954421750, 2329434066, 2329434071, 2329434056, 3025096202, 2329434038, 2329434064, 2329434057, 2329434053, 3025096212, 2329434040, 2329434062, 5324521182]",,3,,,,,,,,,en:Bursley Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,224646230,,"POLYGON ((-83.7314969 42.2807305, -83.7314897 42.2804786, -83.7316459 42.2804762, -83.731678 42.2804757, -83.7316748 42.2803626, -83.7315321 42.2803648, -83.7314903 42.2803655, -83.7314834 42.2801244, -83.731527 42.2801237, -83.7315583 42.2801232, -83.7315599 42.2801801, -83.7315505 42.2801802, -83.731554 42.2803029, -83.7316974 42.2803007, -83.7317856 42.2802993, -83.731843 42.2802984, -83.7318291 42.2798106, -83.731763 42.2798116, -83.7315395 42.2798151, -83.7315446 42.2799928, -83.7315166 42.2799932, -83.7314785 42.2799938, -83.7314718 42.2797605, -83.7316648 42.2797575, -83.7316614 42.2796403, -83.731519 42.2796426, -83.7314695 42.2796433, -83.731465 42.2794859, -83.731464 42.2794517, -83.7314377 42.2794521, -83.7314368 42.2794181, -83.7313341 42.2794197, -83.731335 42.2794515, -83.7313065 42.2794519, -83.7313119 42.279641, -83.731298 42.2796412, -83.7312998 42.2797021, -83.7313014 42.2797598, -83.7313018 42.2797726, -83.7313086 42.2800117, -83.7311855 42.2800137, -83.7311885 42.2801158, -83.7313194 42.2801137, -83.7313266 42.2803676, -83.7313139 42.2803678, -83.7313156 42.2804284, -83.7313172 42.2804839, -83.7313292 42.2804837, -83.7313346 42.2806724, -83.7313674 42.2806719, -83.7313684 42.2807043, -83.7313943 42.2807038, -83.7313948 42.2807228, -83.7314165 42.2807225, -83.7314206 42.2808671, -83.7314955 42.2808659, -83.7316226 42.2808639, -83.73162 42.2807727, -83.7316142 42.2807728, -83.7316133 42.2807387, -83.7315794 42.2807393, -83.7315792 42.2807292, -83.7314969 42.2807305))",,,,,,,,,,,,University of Michigan,,,dormitory,,Mosher-Jordan Hall,,,,"[2334454253, 2334454256, 5615308109, 2334454260, 2334454254, 5615308447, 2334454272, 2334454257, 9762437087, 5615308042, 5615308041, 2334454259, 2334454262, 5615308450, 5615308238, 2334454258, 2334454267, 5615308451, 2334454268, 2334454271, 9762437086, 2334454270, 2334454255, 2334454261, 2334454263, 5615308037, 2334454266, 5615308034, 2334454269, 5615308051, 5615308052, 5615308053, 5615308054, 2334454264, 5615308055, 5615308056, 5615308060, 5615308057, 5615308058, 5481488841, 5481488840, 5481488839, 5481488838, 5615308050, 5615308049, 5615308071, 5615308047, 5615308048, 2334454265, 5615308046, 5615308045, 5615308044, 9048221596, 9048221595, 5615308119, 5615308317, 5615308114, 5615308115, 5615308116, 5615308117, 9048221598, 9048221597, 2334454253]",,4,,,,Mojo,莫熙儿乔丹厅（Mojo）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,226571545,,"POLYGON ((-83.7232001 42.2869185, -83.7231967 42.2867999, -83.722998 42.286804, -83.7230037 42.2869222, -83.7232001 42.2869185))",,,,,,,,,,,,,,,yes,,Mitchell Field Building,,,,"[2353531709, 2353531718, 2353531707, 2353531717, 2353531709]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,228374715,,"POLYGON ((-83.7163429 42.2973985, -83.7163419 42.2975044, -83.7161547 42.2975035, -83.7161552 42.2974553, -83.7161557 42.2973976, -83.7163429 42.2973985))",,,,,,2213,,,Cram Place,,,,,,apartments,,,,,,"[2370583658, 2370583680, 2370583682, 9051713945, 2370583661, 2370583658]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,228374716,,"POLYGON ((-83.7155519 42.2971856, -83.7155528 42.2972391, -83.7155536 42.2972915, -83.7153666 42.2972932, -83.7153658 42.2972407, -83.7153649 42.2971873, -83.7155519 42.2971856))",,,,,,1697,,,Cram Circle,,,,,,apartments,,,,,,"[2370583601, 2370583621, 2370583629, 2370583635, 2370583619, 2370583605, 2370583601]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,228374717,,"POLYGON ((-83.7157262 42.2971389, -83.7155844 42.2971417, -83.7155794 42.2970014, -83.7157212 42.2969985, -83.7157262 42.2971389))",,,,,,2249,,,Cram Place,,,,,,apartments,,,,,,"[2370583597, 2370583599, 2370583584, 2370583582, 2370583597]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,228374718,,"POLYGON ((-83.7163596 42.2979696, -83.716287 42.29797, -83.7162178 42.2979704, -83.7162163 42.2978299, -83.7163582 42.2978291, -83.7163596 42.2979696))",,,,,,1737,,,Cram Circle,,,,,,apartments,,,,,,"[2370583792, 9051713939, 2370583794, 2370583764, 2370583762, 2370583792]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,228374719,,"POLYGON ((-83.7165529 42.2977036, -83.7164743 42.297704, -83.7164111 42.2977043, -83.7164097 42.2975638, -83.7164806 42.2975634, -83.7165515 42.297563, -83.7165529 42.2977036))",,,,,,2203,,,Cram Place,,,,,,apartments,,,,,,"[2370583711, 2370583727, 2370583713, 2370583694, 2370583686, 2370583692, 2370583711]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,228374720,,"POLYGON ((-83.7157786 42.2984414, -83.7157094 42.2984943, -83.715405 42.2982765, -83.7154742 42.2982236, -83.7157786 42.2984414))",,,,,,1781,,,Cram Circle,,,,,,apartments,,,,,,"[2370583848, 2370583850, 2370583840, 2370583834, 2370583848]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,228374721,,"POLYGON ((-83.7165172 42.2973599, -83.7164372 42.2973606, -83.7163754 42.2973611, -83.7163731 42.2972172, -83.7164346 42.2972167, -83.7165149 42.297216, -83.7165172 42.2973599))",,,,,,2201,,,Cram Place,,,,,,apartments,,,,,,"[2370583653, 9051713947, 2370583654, 2370583615, 2370583603, 2370583613, 2370583653]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,228374722,,"POLYGON ((-83.7156442 42.2981273, -83.715575 42.2981802, -83.7152706 42.2979624, -83.7153398 42.2979095, -83.7156442 42.2981273))",,,,,,1757,,,Cram Circle,,,,,,apartments,,,,,,"[2370583822, 2370583826, 2370583790, 2370583781, 2370583822]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,228374723,,"POLYGON ((-83.7157841 42.2978446, -83.7156751 42.2978444, -83.7156756 42.297704, -83.7157846 42.2977042, -83.7157841 42.2978446))",private,,,,,,,,,,,,,,yes,,Northwood II Service Building,,,,"[2370583770, 2370583773, 2370583721, 2370583719, 2370583770]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,laundry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,228374724,,"POLYGON ((-83.7161132 42.2976912, -83.7160362 42.2976919, -83.7159717 42.2976925, -83.7159693 42.2975509, -83.7160368 42.2975503, -83.7161108 42.2975496, -83.7161132 42.2976912))",,,,,,1725,,,Cram Circle,,,,,,apartments,,,,,,"[2370583707, 2370583717, 2370583709, 2370583690, 2370583684, 2370583688, 2370583707]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,228374725,,"POLYGON ((-83.7153346 42.2982318, -83.7152654 42.2982847, -83.714961 42.2980669, -83.7150302 42.298014, -83.7153346 42.2982318))",,,,,,1763,,,Cram Circle,,,,,,apartments,,,,,,"[2370583838, 2370583842, 2370583814, 2370583806, 2370583838]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,228374726,,"POLYGON ((-83.7160272 42.2973331, -83.7158853 42.2973317, -83.715888 42.2971911, -83.7159527 42.2971917, -83.7160298 42.2971925, -83.7160272 42.2973331))",,,,,,2231,,,Cram Place,,,,,,apartments,,,,,,"[2370583651, 2370583652, 2370583611, 2370583609, 2370583607, 2370583651]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,230128786,library,"POLYGON ((-83.7162685 42.2915343, -83.7162529 42.2915476, -83.7162352 42.2915627, -83.7152133 42.2915627, -83.7152003 42.2915492, -83.7151877 42.2915362, -83.7151908 42.2907895, -83.7152279 42.290762, -83.7162366 42.290762, -83.716272 42.2907869, -83.7162634 42.2910594, -83.7162675 42.2912581, -83.7162685 42.2915343))",,,yes,Ann Arbor,,2281,48109,,Bonisteel Boulevard,,,University of Michigan,,,yes,,Duderstadt Center,24/7,,,"[2386571546, 6787323488, 2746735316, 2386571547, 6431763942, 2746735317, 2746735318, 2386571548, 2746735319, 2386571549, 2562410037, 2562410038, 2386571546]",,3,,,,The Dude,杜德史塔特中心,,,,,flat,,DC,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,242379149,,"POLYGON ((-83.7148719 42.2925411, -83.714727 42.2925407, -83.7147247 42.2929534, -83.7145507 42.2929528, -83.7145508 42.2929337, -83.7145516 42.292796, -83.7145518 42.2927595, -83.7142744 42.2927587, -83.7142747 42.2927132, -83.7140155 42.2927125, -83.7140158 42.2926656, -83.7137995 42.2926649, -83.7137687 42.2926649, -83.7137692 42.2925588, -83.7136838 42.2925585, -83.7136839 42.2925338, -83.7136841 42.2924925, -83.7136075 42.2924922, -83.7136074 42.2925135, -83.7130171 42.2925118, -83.7129398 42.2925115, -83.7129417 42.2921556, -83.713359 42.2921568, -83.7133588 42.2921864, -83.7142793 42.2921892, -83.7142796 42.2921247, -83.7145524 42.2921255, -83.7145521 42.2921923, -83.7146097 42.2921925, -83.7146104 42.2920744, -83.7147677 42.2920749, -83.7147681 42.2920372, -83.7147689 42.2918363, -83.7147922 42.2918364, -83.7148139 42.2918365, -83.7148104 42.2924903, -83.7148722 42.2924904, -83.714872 42.2925161, -83.7148719 42.2925411))",,,,Ann Arbor,,1301,48109,MI,Beal Avenue,,,University of Michigan,,,university,,Electrical Engineering and Computer Science Building,,,,"[2498623761, 2764489039, 2764489041, 2764489043, 6431771501, 6434753486, 2764489044, 2764489046, 2764489047, 2764489049, 2764489051, 6434753489, 2764489053, 2764489054, 2764489033, 2958608472, 2764489037, 2764489055, 2764489058, 6434753501, 2498623762, 2498623763, 2764489059, 2764489064, 2764489062, 2764489061, 2954735597, 2954735598, 2954735599, 2954735600, 2954735601, 2954735590, 2954735602, 6431763940, 2498623764, 2954735595, 2954735596, 6190364472, 2498623761]",,4,,,,,电子工程和计算机科学楼,,,,,,,EECS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,242379150,,"POLYGON ((-83.7135919 42.2929339, -83.7135033 42.2929334, -83.7135031 42.2929519, -83.7132955 42.2929509, -83.7132956 42.2929413, -83.7132957 42.2929294, -83.7131925 42.2929288, -83.713193 42.2928729, -83.7132263 42.2928731, -83.7132287 42.2926151, -83.7133412 42.2926157, -83.7133414 42.2925902, -83.7135106 42.292591, -83.7135105 42.2926011, -83.7135104 42.2926157, -83.7135949 42.2926161, -83.7135919 42.2929339))",,,,Ann Arbor,,1351,,MI,Beal Avenue,,,University of Michigan,,,university,,Environmental and Water Resources Engineering,,,,"[2498623765, 2764493445, 2764493446, 2764493447, 6431757268, 2764493448, 2498623766, 2764493444, 2764493443, 2498623767, 2764493442, 2764493440, 2764493439, 6434752271, 2764493438, 2498623768, 2498623765]",,4,,,,,,,,,,,,EWRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,249659008,,"POLYGON ((-83.7351422 42.2763053, -83.735105 42.276306, -83.7351044 42.2762893, -83.7351038 42.2762751, -83.7351892 42.2762734, -83.7351878 42.2762332, -83.7350509 42.2762359, -83.7350529 42.2762904, -83.7350533 42.2763012, -83.7348441 42.2763053, -83.7348582 42.2766987, -83.7350436 42.276695, -83.7350445 42.2767202, -83.7350453 42.2767423, -83.7351282 42.2767407, -83.7351274 42.2767192, -83.7351266 42.2766959, -83.7351562 42.2766953, -83.7351422 42.2763053))",,,,Ann Arbor,,500,48109,,Church Street,,,,,,university,,Weiser Hall,,,,"[3047851844, 3756440621, 6789627249, 3756440620, 3756440619, 3756440618, 3756440617, 6789627250, 3756440616, 3047851845, 3047851846, 3756440613, 4397228308, 3756440614, 3756440615, 4397228307, 3756440612, 3047851841, 3047851844]",,2,,,,,,,,Q5236907,,flat,,,,,,,,,,,Dennison Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,249659161,,"POLYGON ((-83.7404593 42.2731729, -83.7404569 42.2730586, -83.7404876 42.2730584, -83.7404877 42.2730655, -83.7405024 42.2730653, -83.7405014 42.2730339, -83.7405008 42.2730054, -83.7405007 42.2729977, -83.7404861 42.2729979, -83.7404862 42.2730053, -83.7404561 42.2730054, -83.7404538 42.2728934, -83.7404431 42.2728936, -83.7404392 42.2728936, -83.7404389 42.2728897, -83.7402858 42.2728909, -83.7402858 42.2728956, -83.7402748 42.2728957, -83.7402746 42.2728624, -83.7402733 42.2728624, -83.7402732 42.2728552, -83.7402716 42.2728552, -83.740263 42.2728554, -83.7402614 42.2728554, -83.7402615 42.2728623, -83.7402407 42.2728625, -83.7402161 42.2728628, -83.740216 42.2728563, -83.7402032 42.2728564, -83.7402033 42.2728633, -83.7401576 42.2728638, -83.7401575 42.2728568, -83.7401449 42.272857, -83.740145 42.2728639, -83.7400984 42.2728644, -83.7400982 42.2728573, -83.7400855 42.2728575, -83.7400856 42.2728646, -83.74004 42.2728651, -83.7400399 42.2728578, -83.7400259 42.272858, -83.740026 42.2728651, -83.7399826 42.2728656, -83.7399824 42.2728582, -83.7399687 42.2728583, -83.7399689 42.2728657, -83.7399438 42.272866, -83.7399239 42.2728662, -83.7399206 42.2728662, -83.7399205 42.2728589, -83.7399076 42.2728591, -83.7399077 42.2728663, -83.7398927 42.2728664, -83.7398919 42.2728233, -83.7398806 42.2728234, -83.7397777 42.2728244, -83.7396553 42.2728256, -83.739643 42.2728257, -83.7396463 42.2730101, -83.7396148 42.2730104, -83.7396149 42.2730146, -83.7396081 42.2730146, -83.7396086 42.2730419, -83.7396091 42.273074, -83.7396161 42.2730739, -83.7396171 42.2731354, -83.7396283 42.2731353, -83.7396284 42.2731377, -83.7396797 42.2731372, -83.7396797 42.2731392, -83.7396907 42.2731391, -83.7396908 42.2731449, -83.7397124 42.2731447, -83.7397127 42.2731602, -83.7398095 42.2731593, -83.7398092 42.2731442, -83.7398406 42.2731439, -83.7398405 42.2731385, -83.739853 42.2731383, -83.7398528 42.2731256, -83.739916 42.273125, -83.7399166 42.273157, -83.739908 42.2731571, -83.7399082 42.2731657, -83.739951 42.2731653, -83.7399962 42.2731649, -83.739996 42.2731555, -83.7399862 42.2731556, -83.7399856 42.2731186, -83.7400332 42.2731182, -83.7400333 42.2731248, -83.7400473 42.2731246, -83.7400472 42.273118, -83.7400934 42.2731176, -83.7400935 42.2731243, -83.7401078 42.2731241, -83.7401077 42.2731175, -83.7401531 42.2731172, -83.7401532 42.2731239, -83.7401672 42.2731238, -83.7401671 42.273117, -83.7402113 42.2731166, -83.7402114 42.2731234, -83.7402251 42.2731233, -83.740225 42.2731166, -83.7402739 42.2731162, -83.7402748 42.2731748, -83.7402915 42.2731747, -83.7402916 42.2731791, -83.7403236 42.2731788, -83.7403438 42.2731837, -83.7403678 42.2731856, -83.7403894 42.2731833, -83.7404102 42.273178, -83.7404441 42.2731777, -83.7404439 42.2731731, -83.7404593 42.2731729))",,,,Ann Arbor,,701,48104,MI,South State Street,,,,,,university,,Jeffries Hall,,,,"[2562399658, 5487177744, 5504164920, 5504164919, 5487177747, 5504166123, 5631297560, 5487177746, 5504166121, 5504166122, 5487177745, 2562399659, 5631297561, 5631297459, 5631297462, 5631297461, 5631297460, 5406236338, 5631297627, 5631297626, 5406236339, 5631297564, 5631297565, 5487177749, 5487177748, 5631747875, 5487177750, 5487177753, 5487177752, 5487177751, 5487177754, 5487177757, 5487177756, 5487177755, 5487177758, 5487177761, 5487177760, 5487177759, 5487177762, 5487177765, 5487177764, 5487177763, 5487177766, 5487177769, 5487177767, 5487177768, 5631747877, 5631747878, 5487177770, 5487177773, 5487177772, 5487177771, 5406236342, 5406236335, 5631747914, 5504166128, 5504166129, 2562399660, 5406236336, 5406236337, 5487177731, 5487177732, 5487177611, 5487177730, 5487177729, 2562399661, 5487177728, 5487177727, 5487177737, 5487177736, 5487177726, 5487177725, 5487177733, 5487177723, 5487177722, 5487177724, 5406236330, 5487177735, 5406236343, 5487177734, 5406236333, 5487177721, 5487177620, 5487177619, 5504166126, 5487177618, 5487177617, 5487177616, 5406236334, 5487177781, 5487177785, 5487177784, 5487177780, 5487177779, 5487177783, 5487177782, 5487177778, 5487177777, 5487177787, 5487177786, 5487177776, 5487177775, 5487177789, 5487177788, 5487177774, 5406236332, 5406236331, 5481582737, 5481582738, 5487177791, 5487177794, 5487177790, 5487177793, 5487177792, 5481582736, 5481582735, 2562399658]",,4,,,,,,,,,,gabled,,LSSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Renamed from South Hall to Jeffries Hall, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,249660507,,"POLYGON ((-83.7170305 42.2912593, -83.7170297 42.2911659, -83.7169989 42.2911661, -83.7169949 42.2906917, -83.7169936 42.290539, -83.7164489 42.2905415, -83.7164533 42.2910585, -83.7162634 42.2910594, -83.7162675 42.2912581, -83.7166002 42.2912568, -83.7166409 42.2912882, -83.7166996 42.2912886, -83.7168285 42.2912895, -83.7168674 42.2912607, -83.7170305 42.2912593))",,,,Ann Arbor,,2121,48109,,Bonisteel Boulevard,,,,,,university,,Chrysler Center,,,,"[2746735320, 2746735321, 2746735322, 6787313468, 2562410034, 2562410035, 2562410036, 2562410037, 2562410038, 2746735326, 2746735325, 955407075, 2746735324, 2746735323, 2746735320]",,1,0,,,,,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,249660520,,"POLYGON ((-83.7122204 42.2938003, -83.7122163 42.293613, -83.7122153 42.293585, -83.712268 42.2935834, -83.7122665 42.2931324, -83.7122079 42.2931327, -83.7122145 42.2931077, -83.7121239 42.293099, -83.7120161 42.2930886, -83.7120061 42.2931337, -83.7119593 42.2931339, -83.711926 42.2931341, -83.7119262 42.2931421, -83.7119348 42.2934509, -83.7116492 42.2934233, -83.7116059 42.2936019, -83.7115922 42.293658, -83.711513 42.2936573, -83.711513 42.2937135, -83.711513 42.2938068, -83.7122204 42.2938003))",,"This building is ocupied by the Department of Aerospace Engineering, College of Engineering.",,Ann Arbor,,1320,,MI,Beal Avenue,,,University of Michigan,,,university,,Francois‑Xavier Bagnoud Building,Mo-Fr 07:00-19:00; PH off,,,"[2562410108, 6787313454, 2952552177, 2952552176, 2562410109, 2952552180, 2952552181, 5643241258, 2952552182, 2952552183, 9953255301, 2562410110, 9849260337, 2562410111, 2562410112, 6787313451, 2952552179, 2952552178, 10860698379, 2562410113, 2562410108]",,3,,,,,空气动力学楼,,1993,,,flat,,FXB,brick,,,,,,,https://aero.engin.umich.edu/about/fxb-building/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
