element_type,osmid,geometry,name,name:en,name:zh,operator,railway,start_date,wheelchair,level,amenity,brand,brand:wikidata,brand:wikipedia,building,covered,cuisine,opening_hours,phone,takeaway,shop,parking,supervised,highway,access,nodes,building:levels,addr:street,wikidata,wikimedia_commons,layer,addr:housenumber,alt_name,alt_name:zh,fee,addr:city,building:levels:underground,smoking,area,lit,surface,addr:street:en,addr:street:zh,source,university,residential,addr:borough,addr:borough:en,addr:borough:zh,alt_name:en,email,heritage,old_name,ref:hk,website,brand:en,brand:zh,man_made,network,network:en,network:wikidata,network:zh,operator:en,operator:wikidata,operator:zh,owner,owner:en,owner:wikidata,owner:zh,service,subway,addr:quarter,addr:quarter:en,addr:quarter:zh,addr:suburb,addr:suburb:en,addr:suburb:zh,location,tunnel,ele,indoor,room,max_level,min_level,fixme,ways,type
way,182024491,"POLYGON ((114.1372215 22.2831981, 114.1371145 22.2831996, 114.1371136 22.2831724, 114.1371127 22.283167, 114.1371092 22.2831599, 114.1371035 22.2831542, 114.1370961 22.2831505, 114.1370878 22.2831491, 114.1370788 22.2831504, 114.1370709 22.2831544, 114.1370649 22.2831607, 114.1370615 22.2831685, 114.137061 22.2831749, 114.1370615 22.2832006, 114.1369527 22.2832029, 114.1369535 22.2832354, 114.1369621 22.2838007, 114.1370679 22.2837993, 114.1370679 22.2838193, 114.1370692 22.2838267, 114.1370729 22.2838333, 114.1370787 22.2838384, 114.137086 22.2838415, 114.137094 22.2838423, 114.1371013 22.2838408, 114.1371078 22.2838374, 114.1371128 22.2838324, 114.137116 22.2838262, 114.137117 22.2838193, 114.137117 22.2837986, 114.1372315 22.283797, 114.1372269 22.2835187, 114.1372215 22.2831981))",嘉道理生物科學大樓 Kadoorie Biological Sciences Building,Kadoorie Biological Sciences Building,嘉道理生物科學大樓,,,,,,,,,,university,,,,,,,,,,,"[1923668810, 1923668819, 5566729008, 5566729007, 5566729010, 5566729011, 5566729012, 1923668853, 5566729013, 5566729014, 5566729015, 1923668858, 5566729009, 1923668844, 1923668838, 4525548841, 1923668809, 1923668812, 5566729005, 1923668829, 5566728999, 5566729000, 5566729001, 1923668828, 5566729002, 5566729003, 5566729004, 1923668800, 5566729006, 1923668857, 1923668815, 6580248384, 1923668810]",,薄扶林道 Pok Fu Lam Road,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182172764,"POLYGON ((114.1352919 22.2832104, 114.1352876 22.2829082, 114.1355664 22.2829048, 114.135659 22.2829037, 114.1356633 22.2832058, 114.1355685 22.283207, 114.1352919 22.2832104))",周亦卿樓 Chow Yei Ching Building,Chow Yei Ching Building,周亦卿樓,,,,,,,,,,university,,,,,,,,,,,"[1925188689, 1925188583, 6580279803, 1925188652, 1925188674, 6580279804, 1925188689]",,薄扶林道 Pok Fu Lam Road,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182172765,"POLYGON ((114.1356911 22.2831041, 114.1356986 22.2833129, 114.1360054 22.2833035, 114.1361169 22.2833, 114.1361163 22.2832839, 114.1361083 22.2830611, 114.1361068 22.2830174, 114.1359765 22.2830221, 114.1359774 22.2830491, 114.1359106 22.2830964, 114.1356911 22.2831041))",綜合大樓 (香港大學學生會) Composite Building (HKU Students' Union),Composite Building,綜合大樓,,,,,,parking,,,,university,,,,,,,multi-storey,yes,,,"[1925188682, 1925188648, 6499569779, 1925188678, 1925188698, 1925188687, 1925188590, 1925188694, 1925188699, 1925188627, 1925188682]",,薄扶林道 Pok Fu Lam Road,,,,72,香港大學學生會 Hong Kong University Students' Union,香港大學學生會,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182172767,"POLYGON ((114.1352145 22.2834429, 114.1354077 22.2832915, 114.1354942 22.2833836, 114.1353004 22.2835372, 114.1352145 22.2834429))",西區食水及海水抽水站 Elliot Fresh Water and Salt Water Pumping Station,Elliot Fresh Water and Salt Water Pumping Station,西區食水及海水抽水站,,,,,,,,,,yes,,,,,,,,,,,"[1925188606, 1925188587, 1925188705, 1925188656, 1925188606]",,薄扶林道 Pok Fu Lam Road,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182172768,"POLYGON ((114.1356911 22.2831041, 114.1359106 22.2830964, 114.1359774 22.2830491, 114.1359765 22.2830221, 114.1361068 22.2830174, 114.1361033 22.2829208, 114.1358812 22.2829291, 114.1358835 22.2829931, 114.1356874 22.2829991, 114.1356911 22.2831041))",李國賢堂 Simon K.Y. Lee Hall,Simon K.Y. Lee Hall,李國賢堂,,,,,,,,,,university,,,,,,,,,,,"[1925188682, 1925188627, 1925188699, 1925188694, 1925188590, 1925188580, 1925188582, 1925188620, 1925188608, 1925188682]",,薄扶林道 Pok Fu Lam Road,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182172769,"POLYGON ((114.1361871 22.2830589, 114.1366551 22.2830459, 114.1366536 22.2830065, 114.1367841 22.2830028, 114.1368378 22.2830012, 114.1368341 22.2828905, 114.1367805 22.282892, 114.1366785 22.282895, 114.1366466 22.2828959, 114.1366454 22.2828618, 114.1361756 22.2828754, 114.136177 22.2829155, 114.1361439 22.2829164, 114.1361472 22.2830162, 114.1361475 22.2830258, 114.136186 22.2830248, 114.1361871 22.2830589))",黃克競樓 Haking Wong Building,Haking Wong Building,黃克競樓,,,,yes,,,,,,university,,,,,,,,,,,"[1925188684, 1925188655, 1925188584, 6505344803, 1925188643, 1925188588, 6505344802, 5180133890, 1925188696, 1925188661, 1925188617, 1925188706, 1925188593, 6499569776, 1925188592, 1925188623, 1925188684]",8,般咸道 Bonham Road,,,1,80,,,,"Sai Wan, Central and Western",1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182172774,"POLYGON ((114.1361163 22.2832839, 114.1361415 22.2832832, 114.1361743 22.2832823, 114.1367303 22.2832668, 114.1368074 22.2832646, 114.1368057 22.2832141, 114.1368001 22.2830418, 114.1367851 22.2830422, 114.1366551 22.2830459, 114.1361871 22.2830589, 114.1361083 22.2830611, 114.1361163 22.2832839))",Haking Wong Podium,,黃克競平臺,,,,,,,,,,yes,,,,,,,,,pedestrian,,"[1925188698, 6499717150, 6499569773, 4138409030, 1925188657, 4525548839, 1925188710, 6379498787, 1925188655, 1925188684, 1925188687, 1925188698]",,,,,2,,,,,,,,yes,yes,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182203609,"POLYGON ((114.1384576 22.2826098, 114.1384568 22.2825868, 114.1384513 22.2824025, 114.138451 22.2823728, 114.1388909 22.2823623, 114.1388975 22.2825993, 114.1384576 22.2826098))",邵仁枚樓 Runme Shaw Building,Runme Shaw Building,邵仁枚樓,,,,,,,,,,university,,,,,,,,,,,"[1925480983, 1925481004, 1925480963, 1925481076, 1925481046, 1925481087, 1925480983]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182203618,"POLYGON ((114.1378499 22.2826344, 114.1382781 22.2826205, 114.1382759 22.2825914, 114.1382704 22.2824071, 114.1382694 22.2823918, 114.1378412 22.2824057, 114.1378499 22.2826344))",邵逸夫樓 Run Run Shaw Building,Run Run Shaw Building,邵逸夫樓,,,,,,,,,,university,,,,,,,,,,,"[1925481034, 1925480991, 1925481071, 1925481088, 1925481006, 1925480990, 1925481034]",,Sun Yat-sen Steps 中山階,,,,1,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182203620,"POLYGON ((114.1373297 22.2819652, 114.1373324 22.2818039, 114.1372975 22.2818039, 114.1373055 22.2817691, 114.1377052 22.2817368, 114.1377079 22.2817617, 114.1376462 22.2817691, 114.1376918 22.2818485, 114.1375389 22.2819155, 114.1375952 22.281995, 114.1375443 22.281995, 114.1375496 22.2821836, 114.1374879 22.2821861, 114.137467 22.2822206, 114.1373264 22.2822209, 114.1373254 22.2821796, 114.1373551 22.2821797, 114.137359 22.282029, 114.1373458 22.2820297, 114.1371902 22.2820868, 114.137209 22.2820148, 114.1373297 22.2819652))",研究生堂 Graduate House,Graduate House,研究生堂,,,,,,,,,,university,,,,,,,,,,,"[1925480957, 1925481021, 1925481043, 1925481033, 1925481081, 1925480952, 1925480960, 1925481019, 1925481032, 1925481074, 1925481024, 1925480989, 1925480998, 4524946586, 1925481010, 4524946587, 4524946588, 1925480953, 1925481124, 1925480943, 1925481037, 1925480957]",,大學道 University Drive,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182203625,"POLYGON ((114.137311 22.282658, 114.1372997 22.282426, 114.1375878 22.2824141, 114.137599 22.282646, 114.137311 22.282658))",厲樹雄科學館 James Hsioung Lee Science Building,James Hsioung Lee Science Building,厲樹雄科學館,,,,,,,,,,university,,,,,,,,,,,"[1925481007, 1925481106, 1925481112, 1925481107, 1925481007]",,大學道 University Drive,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182203643,"POLYGON ((114.1382759 22.2825914, 114.1384568 22.2825868, 114.1384513 22.2824025, 114.1382704 22.2824071, 114.1382759 22.2825914))",黃麗松講堂 Rayson Huang Theatre,Rayson Huang Theatre,黃麗松講堂,,,,,,,,,,university,,,,,,,,,,,"[1925481071, 1925481004, 1925480963, 1925481088, 1925481071]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182203645,"POLYGON ((114.1384535 22.2817418, 114.1384535 22.2816748, 114.1387405 22.28165, 114.1390973 22.2816227, 114.1390973 22.2816574, 114.1390946 22.2816822, 114.1391804 22.2816822, 114.1391884 22.2816326, 114.1394808 22.2816227, 114.1394808 22.2816748, 114.1395693 22.2816748, 114.1395623 22.2818616, 114.1395228 22.2818546, 114.139519 22.2818936, 114.1391675 22.2819036, 114.139167 22.2818212, 114.1390704 22.2818212, 114.1390704 22.2818709, 114.1390356 22.2818783, 114.1390356 22.2819404, 114.1388854 22.2819379, 114.1388854 22.2818212, 114.1389363 22.2818212, 114.1389363 22.2817344, 114.1384535 22.2817418))",柏立基學院 Robert Black College,Robert Black College,柏立基學院,,,,,,,,,,apartments,,,,,,,,,,,"[1925481125, 1925481005, 1925481094, 1925481131, 1925481053, 1925481085, 1925480970, 1925480966, 1925481070, 1925481128, 1925481130, 1925481082, 1925480945, 1925480954, 1925481103, 1925480961, 1925481146, 1925481142, 1925481029, 1925480972, 1925481120, 1925481039, 1925481038, 1925480977, 1925481125]",,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182203649,"POLYGON ((114.1375286 22.2829267, 114.1375164 22.2826995, 114.1379688 22.2826788, 114.1379774 22.2829086, 114.1375286 22.2829267))",許愛周科學館 Hui Oi Chow Science Building,Hui Oi Chow Science Building,許愛周科學館,,,,,,,,,,university,,,,,,,,,,,"[1925481113, 1925480984, 1925481016, 1925481036, 1925481113]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182203652,"POLYGON ((114.1388352 22.2827536, 114.1388336 22.2826818, 114.1388666 22.2826812, 114.1388913 22.2826806, 114.1389788 22.2826785, 114.1391403 22.2826745, 114.139139 22.2826311, 114.1392512 22.2826284, 114.1394322 22.282624, 114.1394368 22.2827866, 114.1393336 22.2827916, 114.1391476 22.2827936, 114.1391463 22.2827462, 114.1388739 22.2827529, 114.1388352 22.2827536))",莊月明文娛中心 Chong Yuet Ming Amenities Centre,Chong Yuet Ming Amenities Centre,莊月明文娛中心,,,,,,,,,,university,,,,,,,,,,,"[1925480999, 1925481022, 4525548836, 6651079958, 6651079959, 5180139258, 5180139259, 6580279798, 1925480948, 1925481079, 6580279796, 5180139260, 5180139257, 4525548835, 1925480999]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182208614,"POLYGON ((114.1395813 22.2825946, 114.1395886 22.2825728, 114.1394774 22.2825385, 114.1395113 22.282446, 114.1394043 22.2824085, 114.1394177 22.2823613, 114.1395813 22.2824159, 114.1395545 22.282478, 114.1396162 22.2824953, 114.1396216 22.282473, 114.1397101 22.2824978, 114.139702 22.2825202, 114.139811 22.2825545, 114.1399381 22.2825946, 114.1399488 22.2825723, 114.1400293 22.2825946, 114.1399751 22.282719, 114.1398891 22.2826941, 114.1399036 22.2826685, 114.1396787 22.2826006, 114.1396699 22.2826219, 114.1395813 22.2825946))",儀禮堂 Eliot Hall,Eliot Hall,儀禮堂,,,,,,,,,,apartments,,,,,,,,,,,"[1925517820, 1925517643, 1925517859, 1925517543, 1925517629, 1925517813, 1925517755, 1925517579, 1925517688, 1925517649, 1925517709, 1925517598, 1925517696, 1925517596, 1925517781, 1925517857, 1925517779, 1925517738, 1925517901, 1925517879, 1925517890, 1925517820]",,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182208617,"POLYGON ((114.1396706 22.2823747, 114.1396779 22.2823528, 114.1395666 22.2823185, 114.1396006 22.2822259, 114.1394937 22.2821885, 114.1395079 22.2821385, 114.1396746 22.2821942, 114.1396478 22.2822562, 114.1397063 22.2822726, 114.1397116 22.2822503, 114.1398033 22.282276, 114.1397952 22.2822984, 114.1400284 22.2823719, 114.1400391 22.2823497, 114.1401226 22.2823728, 114.1400672 22.2824998, 114.1399781 22.2824741, 114.1399926 22.2824484, 114.1398639 22.2824096, 114.1397708 22.2823815, 114.139762 22.2824028, 114.1396706 22.2823747))",梅堂 May Hall,May Hall,梅堂,,,,,,,,,,apartments,,,,,,,,,,,"[1925517701, 1925517804, 1925517600, 1925517699, 1925517768, 1925517593, 1925517576, 1925517529, 1925517537, 1925517602, 1925517783, 1925517838, 1925517532, 1925517854, 1925517760, 1925517753, 1925517893, 1925517876, 1925517603, 1925517590, 1925517844, 1925517701]",,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182208619,"POLYGON ((114.1398736 22.2828912, 114.1402784 22.2828764, 114.1402851 22.2830341, 114.1398804 22.2830489, 114.1398763 22.2829539, 114.1398736 22.2828912))",莊月明化學樓 Chong Yuet Ming Chemistry Building,Chong Yuet Ming Chemistry Building,莊月明化學樓,,,,,,,,,,university,,,,,,,,,,,"[1925517651, 1925517694, 1925517570, 1925517766, 6580279800, 1925517651]",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182208628,"POLYGON ((114.1396462 22.2831406, 114.1398927 22.2831305, 114.1398914 22.2831029, 114.1398889 22.28305, 114.1400466 22.2830435, 114.140059 22.2832999, 114.1396547 22.2833165, 114.1396462 22.2831406))",莊月明物理樓 Chong Yuet Ming Physics Building,Chong Yuet Ming Physics Building,莊月明物理樓,,,,,,,,,,university,,,,,,,,,,,"[1925517850, 1925517659, 6580279797, 1925517905, 1925517686, 1925517926, 1925517868, 1925517850]",8,月明廣場 Yuet Ming Plaza,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182208630,"POLYGON ((114.139341 22.2837834, 114.1393162 22.283814, 114.1392686 22.2838728, 114.139341 22.2839075, 114.1393269 22.2839317, 114.1393135 22.2839193, 114.1392873 22.2839869, 114.1393189 22.2839888, 114.1393108 22.2840186, 114.1393591 22.2840322, 114.1394087 22.2840462, 114.1394188 22.2840192, 114.1394456 22.2840217, 114.1394644 22.2839695, 114.1394429 22.2839547, 114.1394536 22.2839398, 114.1395314 22.2839373, 114.1395314 22.2838231, 114.1394456 22.2838306, 114.1394365 22.2838276, 114.1394 22.2838157, 114.139341 22.2837834))",徐展堂樓 T.T. Tsui Building,T.T. Tsui Building,徐展堂樓,,,,,,,,,,yes,,,,,,,,,,,"[1925517742, 1925517848, 1925517852, 1925517633, 1925517796, 1925517894, 1925517908, 1925517517, 1925517540, 6563915326, 1925517605, 1925517867, 1925517835, 1925517637, 1925517535, 1925517631, 1925517748, 1925517625, 1925517802, 6563915328, 1925517546, 1925517742]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182208638,"POLYGON ((114.1395951 22.2836007, 114.1395911 22.2835546, 114.1395897 22.2835386, 114.1396171 22.2835367, 114.1398354 22.2835215, 114.1398437 22.2835835, 114.1398124 22.2835808, 114.1398204 22.2836329, 114.139858 22.2836329, 114.139858 22.283695, 114.139861 22.283793, 114.1398262 22.2838201, 114.1398334 22.2839309, 114.1396031 22.2839506, 114.1395914 22.2838391, 114.1395885 22.2838119, 114.1395461 22.2838129, 114.1395447 22.283734, 114.1395946 22.28373, 114.1395924 22.2837128, 114.1395892 22.283688, 114.1395545 22.2836805, 114.1395492 22.2836058, 114.1395951 22.2836007))",太古樓 Swire Building,Swire Building,太古樓,,,,,,,,,,residential,,,,,,,,,,,"[1925517745, 6563915340, 1925517525, 6563915338, 1925517692, 1925517794, 1925517885, 1925517652, 1925517887, 1925517704, 1925517863, 1925517626, 1925517801, 1925517700, 6563915330, 1925517582, 1925517788, 1925517654, 1925517803, 6563915289, 1925517635, 1925517900, 1925517924, 1925517745]",12,,,,,,,,,,,,,,,,,,,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,182208641,"POLYGON ((114.1398657 22.2836587, 114.139855 22.2835203, 114.1398523 22.2834849, 114.1399193 22.28348, 114.1400527 22.2834677, 114.1400711 22.2836392, 114.1400239 22.2836438, 114.1400266 22.2836686, 114.139922 22.283676, 114.139922 22.2836537, 114.1398657 22.2836587))",鄧志昂樓 Tang Chi Ngong Building,Tang Chi Ngong Building,鄧志昂樓,,,,,,,,,,yes,,,,,,,,,,,"[1925517767, 6563915343, 1925517811, 1925517833, 1925517657, 1925517757, 1925517824, 1925517829, 1925517816, 1925517716, 1925517767]",,,Q15503161,Category:Tang Chi Ngong Building (HKU campus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
