element_type,osmid,amenity,parking,geometry,access,wheelchair,addr:state,building,ele,gnis:county_name,gnis:feature_id,gnis:import_uuid,gnis:reviewed,name,source,addr:housenumber,addr:street,wikidata,created_by,addr:city,addr:country,addr:postcode,alt_name,website,phone,shop,man_made,surveillance:type,height,material,operator,tourism,nodes,building:levels,building:material,leisure,sport,wikipedia,roof:levels,roof:shape,year_of_construction,religion,other_source,opening_hours,note,operator:type,email,gnis:county_id,gnis:created,gnis:state_id,old_name,short_name,ref:isil,addr:housename,full_name,name:zh,internet_access,type,building_1,fee,opening_hours:url,building:flats,content,bridge,layer,ways,aerospace:product,faculty,building:levels:underground
way,29515011,,,"POLYGON ((-71.1269945 42.3824335, -71.1271288 42.3825667, -71.1270582 42.3826055, -71.1269239 42.3824723, -71.1269945 42.3824335))",,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,"[325359302, 325359303, 325359304, 325359307, 325359302]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29515027,,,"POLYGON ((-71.1243299 42.3820451, -71.124398 42.3821247, -71.1244125 42.3821192, -71.1244032 42.3821095, -71.1244709 42.3820577, -71.1245132 42.3821082, -71.124421 42.3821517, -71.1244789 42.3822193, -71.1241515 42.3823732, -71.1240026 42.382199, -71.1243299 42.3820451))",,,,yes,,,,,,Wolbach Hall,,124,Walker Street,,,,,,,,,,,,,,,,"[325359401, 11624454736, 11624454738, 11624454741, 11624454740, 11624454739, 11624454737, 325359403, 325359404, 325359405, 325359401]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29515030,,,"POLYGON ((-71.1264033 42.3822569, -71.1264541 42.3823163, -71.1263774 42.3823522, -71.1263267 42.3822929, -71.1264033 42.3822569))",,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,"[325359421, 325359423, 325359425, 325359426, 325359421]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29515135,,,"POLYGON ((-71.1186991 42.3805949, -71.1187322 42.3805967, -71.1187378 42.3805399, -71.1188041 42.3805435, -71.1188003 42.3805824, -71.1188461 42.3805849, -71.1188349 42.3806992, -71.1188178 42.3807029, -71.1187942 42.3807018, -71.1187783 42.3806962, -71.1187798 42.3806813, -71.1187468 42.3806795, -71.1187462 42.3806849, -71.1186905 42.3806819, -71.1186991 42.3805949))",,,,dormitory,,,,,,,,10,Mellen Street,,,,,,,,,,,,,,,,"[325360269, 3305282882, 3305282883, 3305282884, 325360270, 3305282885, 325360271, 3305282890, 3305282891, 3305282886, 3305282887, 3305282888, 3305282889, 325360272, 325360269]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29515182,,,"POLYGON ((-71.1168056 42.3789255, -71.1169878 42.3789365, -71.1168991 42.3797393, -71.1167169 42.3797283, -71.1168056 42.3789255))",,,,dormitory,6,Middlesex,1971645,57871b70-0100-4405-bb30-88b2e001a944,,Perkins Hall,USGS Geonames,35-39,Oxford Street,,,,,02138-1901,,,,,,,,,,,"[325360673, 325360675, 325360677, 325360678, 325360673]",4,,,,,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29515188,,,"POLYGON ((-71.1161812 42.3792486, -71.1163942 42.3792615, -71.1163436 42.3797247, -71.1161305 42.3797119, -71.1161812 42.3792486))",,,,university,,,,,,Conant Hall,,36,Oxford Street,Q37846165,,,,,,,,,,,,,,,"[325360714, 325360715, 325360716, 325360718, 325360714]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29515210,,,"POLYGON ((-71.1157093 42.3783814, -71.1157355 42.3784521, -71.1157603 42.3785189, -71.1157273 42.3785256, -71.1157962 42.378711, -71.115831 42.3787039, -71.1159187 42.3789398, -71.1156228 42.3789998, -71.1156095 42.3789638, -71.1152271 42.3790414, -71.1151912 42.3790486, -71.1148733 42.3791131, -71.1148403 42.3790241, -71.1148096 42.3789416, -71.1150923 42.3788843, -71.1150721 42.3788298, -71.1152702 42.3787896, -71.1152929 42.3788507, -71.115563 42.378796, -71.1154785 42.3785687, -71.1154371 42.3785771, -71.1153886 42.3784464, -71.1154301 42.3784402, -71.1156677 42.378391, -71.1157093 42.3783814))",,,MA,university,,,,,,,,26,Oxford Street,,,Cambridge,,02138,,,,,,,,,,,"[325360906, 3809858782, 325360907, 325360908, 325360909, 325360910, 325360912, 325360914, 325360915, 6297995257, 6297995259, 325360916, 11540374475, 325360917, 325360918, 325360919, 325360921, 325360923, 325360924, 325360925, 325360927, 325360929, 325360930, 11540371746, 325360906]",1,,,,,,,1887,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29515230,,,"POLYGON ((-71.1147349 42.3784118, -71.1147613 42.3784837, -71.1149141 42.3784561, -71.1149941 42.3786866, -71.1149125 42.3787086, -71.1149244 42.3787438, -71.1148562 42.3787584, -71.1148452 42.3787224, -71.1147577 42.3787453, -71.1146664 42.3784874, -71.1146545 42.37849, -71.1146332 42.3784325, -71.1147064 42.3784176, -71.1146903 42.378369, -71.1147179 42.3783633, -71.1147349 42.3784118))",,,,yes,,,,,,Tozzer Anthropology Building,,21,Divinity Avenue,,,,,,,,,,,,,,,,"[325361101, 325361102, 325361104, 325361105, 325361106, 325361107, 325361108, 325361111, 325361112, 11540374471, 11540374470, 325361113, 11540371767, 11540374469, 11540371768, 325361101]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29515250,,,"POLYGON ((-71.1133872 42.3782667, -71.113417 42.3783502, -71.1133776 42.3783579, -71.1133884 42.3783884, -71.1132209 42.3784212, -71.1131957 42.3783507, -71.1132763 42.3783348, -71.1132608 42.3782915, -71.1133872 42.3782667))",,,,yes,,,,,,,,13,Kirkland Place,,,,,,,,,,,,,,,,"[325361267, 325361268, 325361269, 325361271, 325361272, 325361274, 325361275, 325361277, 325361267]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29515319,,,"POLYGON ((-71.1120842 42.3767333, -71.1122534 42.3767555, -71.1122418 42.3768037, -71.1122082 42.3767993, -71.1122006 42.3768309, -71.1122453 42.3768367, -71.1122242 42.3769248, -71.112044 42.3769011, -71.1120842 42.3767333))",,,,yes,,,,,,,,40,Kirkland Street,,,,,,,,,,,,,,,,"[325361810, 325361811, 325361812, 325361813, 325361814, 325361815, 325361816, 325361818, 325361810]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29515377,university,,"POLYGON ((-71.1220184 42.3752267, -71.1221095 42.3752893, -71.1221254 42.3752766, -71.1221514 42.3752943, -71.1221651 42.3752834, -71.122306 42.3753803, -71.1218957 42.3757084, -71.1217618 42.3756163, -71.1217744 42.3756063, -71.1217549 42.3755929, -71.1217719 42.3755794, -71.1216674 42.3755074, -71.1217685 42.3754266, -71.1217793 42.3754339, -71.1219253 42.3753172, -71.1219146 42.3753097, -71.1220184 42.3752267))",,,MA,yes,8,Middlesex,1971469,57871b70-0100-4405-bb30-88b2e001a944,yes,Longfellow Building,MassGIS Buildings (http://www.mass.gov/mgis/lidarbuildingfp2d.htm); USGS Geonames,13,Appian Way,,,,,,,,,,,,,,,,"[325362279, 325362280, 325362281, 325362282, 325362283, 325362286, 325362287, 325362288, 325362289, 325362290, 325362293, 325362294, 325362295, 325362296, 325362297, 325362298, 325362279]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29515392,,,"POLYGON ((-71.1140763 42.3748754, -71.1143029 42.3749053, -71.1142709 42.3750386, -71.1143312 42.3750466, -71.114274 42.3752849, -71.1142138 42.375277, -71.1142005 42.3753325, -71.1137288 42.3752703, -71.113816 42.3751625, -71.1140015 42.3751869, -71.1140763 42.3748754))",,,,yes,,,,,,Arthur M. Sackler Gallery,,,,Q2493390,,,,,,,,,,,,,,,"[325362486, 325362488, 325362490, 325362491, 325362492, 325362493, 325362494, 325362495, 325362496, 325362497, 325362486]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29515394,university,,"POLYGON ((-71.1225228 42.3751634, -71.1226477 42.3752592, -71.1224653 42.375389, -71.1224058 42.3753433, -71.122529 42.3752557, -71.1224635 42.3752055, -71.1225228 42.3751634))",,,MA,yes,8,Middlesex,1971670,57871b70-0100-4405-bb30-88b2e001a944,,Putnam Building,MassGIS Buildings (http://www.mass.gov/mgis/lidarbuildingfp2d.htm); USGS Geonames,,,,,,,,,,,,,,,,,,"[325362505, 325362507, 325362508, 9444773333, 9444773332, 325362509, 325362505]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29515496,,,"POLYGON ((-71.1192885 42.3717164, -71.1195101 42.3717884, -71.1194272 42.3719288, -71.1192055 42.3718568, -71.1192885 42.3717164))",,,,yes,,,,,,,,52;54,Dunster Street,,,,,,,,,,,,,,,,"[325363694, 325363695, 325363696, 325363697, 325363694]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29515502,,,"POLYGON ((-71.119153 42.3716131, -71.1192165 42.3716377, -71.1191199 42.3717734, -71.1190734 42.3717554, -71.1191175 42.3716933, -71.1191006 42.3716868, -71.119153 42.3716131))",,,,yes,,,,,,,,41,Winthrop Street,,,,,,,,,,,,,,,,"[325363736, 325363739, 325363740, 325363741, 325363742, 325363743, 325363736]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29515509,,,"POLYGON ((-71.117081 42.3715048, -71.1174304 42.3716296, -71.1174205 42.3716465, -71.1174096 42.3716645, -71.1170457 42.3715732, -71.117081 42.3715048))",,limited,MA,university,,Middlesex,1971434,57871b70-0100-4405-bb30-88b2e001a944,no,Harvard Lampoon Building,http://harvardlampoon.com/,44,Bow Street,Q5676473,,Cambridge,,02138,,https://harvardlampoon.com/,,,,,,,,,"[325363805, 325363806, 3727950704, 325363807, 325363808, 325363805]",3,,,,en:Harvard Lampoon Building,,,,,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29515519,,,"POLYGON ((-71.1178909 42.3713187, -71.1180037 42.3713582, -71.1179027 42.371516, -71.1179245 42.3715236, -71.1179029 42.3715572, -71.1178813 42.3715496, -71.1178528 42.3715942, -71.1176493 42.371523, -71.1177047 42.3714364, -71.1177952 42.3714681, -71.1178909 42.3713187))",,,MA,yes,,,,,,The Fly Club,,2,Holyoke Place,,,Cambridge,,02138,,,,,,,,,,,"[325363873, 325363875, 11377603724, 11377603726, 11377603727, 11377603725, 325363879, 325363880, 325363882, 325363885, 325363873]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29515553,,,"POLYGON ((-71.1172638 42.3696314, -71.1173905 42.3696522, -71.117296 42.3699501, -71.117637 42.3700406, -71.117806 42.3697518, -71.1179234 42.3697895, -71.1177019 42.370168, -71.1176022 42.3701417, -71.1175968 42.3701529, -71.1172035 42.3700486, -71.1172084 42.3700385, -71.117105 42.3700112, -71.1171525 42.3699128, -71.1171696 42.3699173, -71.1172638 42.3696314))",,,MA,university,4,Middlesex,1971530,57871b70-0100-4405-bb30-88b2e001a944,no,McKinlock Hall,USGS Geonames,8,Mill Street,,,,,,,,,,,,,,,,"[325364132, 325364133, 325364134, 325364136, 325364137, 325364138, 5071953987, 325364140, 325364141, 325364142, 325364143, 325364144, 325364145, 325364147, 325364132]",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29515554,,,"POLYGON ((-71.1281125 42.3698482, -71.1281447 42.3699389, -71.1281838 42.3699313, -71.1282229 42.3700411, -71.1281835 42.3700488, -71.1282191 42.3701486, -71.1280769 42.3701764, -71.1279699 42.3698761, -71.1281125 42.3698482))",,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,"[325364149, 325364150, 325364151, 325364152, 325364153, 325364155, 325364156, 325364158, 325364149]",,,bleachers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29516569,,,"POLYGON ((-71.1124169 42.3748562, -71.1126027 42.3748789, -71.1125961 42.3749087, -71.112568 42.3749052, -71.1125597 42.3749433, -71.1128037 42.3749731, -71.1127771 42.3750931, -71.1125565 42.3750662, -71.1125453 42.375117, -71.112364 42.3750949, -71.1124169 42.3748562))",,,,apartments,,,,,,,,1716,Cambridge Street,,,,,,,,,,,,,,,,"[325371024, 325371025, 325371026, 325371027, 325371028, 325371029, 325371030, 325371031, 325371034, 325371035, 325371024]",4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29516596,,,"POLYGON ((-71.1133628 42.3732146, -71.1134402 42.373227, -71.1134227 42.3732868, -71.1133455 42.3732746, -71.1133628 42.3732146))",,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,"[325371212, 325371213, 325371214, 325371215, 325371212]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29516599,,,"POLYGON ((-71.11294 42.3731478, -71.1129711 42.3731557, -71.1129755 42.3731462, -71.1130067 42.3731541, -71.1130024 42.3731634, -71.1130812 42.3731834, -71.113043 42.3732654, -71.11298 42.3732494, -71.1129833 42.3732424, -71.1129052 42.3732226, -71.11294 42.3731478))",,,,house,,,,,,,,17,Ware Street,,,,,,,,,,,,,,,,"[325371236, 11745367575, 11745367577, 11745367576, 11745367574, 325371237, 325371238, 11745367572, 11745367573, 325371239, 325371236]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29529825,,,"POLYGON ((-71.1260738 42.381658, -71.1261906 42.3817966, -71.1262565 42.3817663, -71.1263352 42.3818598, -71.1262731 42.3818883, -71.1262826 42.3818997, -71.1262252 42.3819261, -71.1262144 42.3819133, -71.1261234 42.3819551, -71.1261008 42.3819283, -71.1260899 42.3819333, -71.1260633 42.3819016, -71.1260731 42.3818971, -71.1260443 42.3818628, -71.126026 42.3818712, -71.1260349 42.3818817, -71.1259819 42.381906, -71.1259752 42.381898, -71.1259665 42.381902, -71.1259475 42.3818794, -71.1259353 42.3818851, -71.1259093 42.3818541, -71.125896 42.3818602, -71.1258653 42.3818237, -71.1258751 42.3818192, -71.125847 42.3817858, -71.1258579 42.3817808, -71.125843 42.3817631, -71.1258559 42.3817572, -71.1258486 42.3817485, -71.1259051 42.3817226, -71.1259132 42.3817323, -71.1259338 42.3817228, -71.1259195 42.3817059, -71.1259822 42.3816771, -71.1259956 42.3816929, -71.1260097 42.3816865, -71.1260025 42.381678, -71.1260508 42.3816558, -71.1260586 42.381665, -71.1260738 42.381658))",,,,dormitory,,,,,,Bingham Hall,,,,,,,,,,,,,,,,,,,"[325485607, 325485611, 325485614, 325485616, 11731487009, 11731487010, 11731487011, 11731487008, 325485618, 11731487013, 11731487015, 11731487014, 11731487012, 325485620, 11731487031, 11731487030, 11731487029, 11731487028, 325485623, 11731487027, 11731487026, 11731487025, 11731487024, 11731487023, 11731487022, 11731487021, 11731487020, 325485628, 11731487019, 11731487018, 11731487017, 11731487016, 11731487007, 11731487006, 11731487005, 11731487004, 11731487033, 11731487035, 11731487034, 11731487032, 325485607]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29529862,,,"POLYGON ((-71.1268402 42.381215, -71.1269305 42.3813207, -71.1269892 42.3812931, -71.1270649 42.3813818, -71.1270084 42.3814083, -71.1270587 42.3814671, -71.1266828 42.3816436, -71.1265265 42.3814606, -71.1264865 42.3814795, -71.1264264 42.3814093, -71.1268402 42.381215))",,,,university,,,,,,Quadrangle Athletic Facility,,5,Bond Street,,,,,,,,,,,,,,,,"[325485995, 325485997, 325486000, 325486002, 325486004, 325486007, 325486010, 325486012, 325486015, 325486020, 325485995]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29529866,,,"POLYGON ((-71.1247043 42.3811391, -71.1247262 42.381166, -71.1247177 42.381174, -71.1247149 42.3811831, -71.124718 42.3811928, -71.1247256 42.3812021, -71.1247351 42.3812091, -71.1247482 42.3812151, -71.1247624 42.3812175, -71.124776 42.3812172, -71.124808 42.3812028, -71.1251332 42.3815966, -71.1249707 42.3816698, -71.1249061 42.3815915, -71.1249167 42.3815868, -71.1247378 42.3813697, -71.1247252 42.3813754, -71.1246632 42.3813001, -71.1246547 42.3813039, -71.1246382 42.3812838, -71.1246334 42.381286, -71.124581 42.3812218, -71.1245867 42.3812193, -71.12457 42.3811988, -71.1245964 42.381187, -71.1247043 42.3811391))",,,,university,,,,,,Briggs Hall,,62,Linnaean Street,,,,,,,,,,,,,,,,"[325486052, 11417531388, 11417531390, 11417531391, 11417531392, 11417531393, 11417531389, 11417531395, 11417531394, 11417531396, 11417531386, 325486054, 325486056, 11417531415, 11417531414, 11417531413, 11417531412, 11417531411, 11417531410, 11417531409, 11417531408, 11417531407, 11417531406, 325486060, 11417531397, 325486052]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29529930,,,"POLYGON ((-71.1242366 42.3806215, -71.1243398 42.3807444, -71.1242471 42.3807868, -71.1242242 42.3807595, -71.1240759 42.3808274, -71.1240967 42.3808522, -71.1240102 42.3808918, -71.1239077 42.3807697, -71.1239953 42.3807296, -71.1240037 42.3807397, -71.1241568 42.3806696, -71.1241498 42.3806613, -71.1242366 42.3806215))",,,,university,,,,,,Bertram Hall (Cabot House),,53,Shepard Street,Q4895779,,,,,,,,,,,,,,,"[325486785, 325486787, 325486790, 325486793, 325486798, 325486801, 325486804, 325486806, 11731487470, 11731487469, 11731487471, 11731487472, 325486785]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29529983,,,"POLYGON ((-71.1122457 42.3799822, -71.1123198 42.3801777, -71.1121357 42.380216, -71.1121486 42.38025, -71.1118943 42.380303, -71.1118865 42.3802824, -71.1118511 42.3802898, -71.1118589 42.3803103, -71.1117216 42.380339, -71.1116282 42.3800926, -71.1117904 42.3800588, -71.1118435 42.3801991, -71.1121407 42.3801372, -71.112094 42.3800138, -71.1122457 42.3799822))",,,MA,university,5,Middlesex,1971877,57871b70-0100-4405-bb30-88b2e001a944,no,World Religions Center,USGS Geonames,42,Francis Avenue,Q121436445,,,,,,,,,,,,,,,"[367777281, 325487423, 325487427, 325487431, 325487433, 325487436, 325487438, 325487439, 325487441, 325487443, 325487445, 325487447, 325487450, 325487452, 367777281]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29529997,,,"POLYGON ((-71.1159909 42.3798827, -71.1163263 42.3799025, -71.1163013 42.3801325, -71.115966 42.3801127, -71.1159909 42.3798827))",,,,university,,,,,,Engineering Sciences Lab,,40;42;46R;58,Oxford Street,,,,,,,,,,,,,,,,"[325487675, 325487677, 325487679, 325487684, 325487675]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29530091,,,"POLYGON ((-71.1176277 42.3791184, -71.1175944 42.3790292, -71.1180173 42.378943, -71.1180122 42.3789293, -71.118086 42.3789143, -71.1180905 42.3789261, -71.1181579 42.3789124, -71.1181779 42.3789672, -71.1181913 42.379002, -71.1181202 42.3790166, -71.1181243 42.3790306, -71.1179952 42.3790692, -71.1179869 42.3790459, -71.1176277 42.3791184))",,,,dormitory,6,Middlesex,1971110,57871b70-0100-4405-bb30-88b2e001a944,,Child Hall,MassGIS Buildings (http://www.mass.gov/mgis/lidarbuildingfp2d.htm);USGS Geonames,26,Everett Street,,,,,02138-2701,,,,,,,,,,,"[325488721, 325488724, 3303470177, 3303470179, 3303470180, 3303470178, 325488702, 3303470185, 325488705, 3303470182, 3303470184, 3303470183, 3303470181, 325488721]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29530149,,,"POLYGON ((-71.1183598 42.3773139, -71.1184144 42.3774602, -71.118457 42.3774515, -71.1184745 42.3774983, -71.1185007 42.377493, -71.1185645 42.377664, -71.1185411 42.3776688, -71.1186105 42.3778583, -71.1186723 42.3780244, -71.1187459 42.3782177, -71.118769 42.3782129, -71.1188331 42.3783842, -71.1188123 42.3783885, -71.1188309 42.378438, -71.1187838 42.3784476, -71.1188386 42.3785932, -71.1186428 42.3786334, -71.1185882 42.3784883, -71.1185542 42.3784953, -71.118535 42.3784443, -71.1185094 42.3784496, -71.1184458 42.3782813, -71.1184721 42.3782758, -71.1183953 42.3780728, -71.1183853 42.3780749, -71.1183303 42.377929, -71.1183437 42.3779262, -71.1182665 42.3777209, -71.1182438 42.3777256, -71.1181827 42.3775624, -71.1182072 42.3775574, -71.1181884 42.3775072, -71.1182316 42.3774984, -71.1181766 42.3773512, -71.1183598 42.3773139))",,,,university,,,,,,Langdell Hall,,1545,Massachusetts Avenue,Q6485777,,,,02138-2903,,,,,,,,,,,"[325489264, 3296142992, 325489267, 3296142991, 325489272, 325489275, 325489278, 3296142999, 3296143002, 3296142993, 3296142994, 325489355, 325489357, 325489359, 325489361, 325489364, 325489367, 325489370, 325489373, 325489375, 325489377, 325489379, 325489382, 3296142995, 3296142998, 3296142997, 3296142996, 325489385, 325489388, 325489391, 325489394, 325489397, 325489399, 325489401, 325489264]",4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29530206,,,"POLYGON ((-71.1135774 42.3780718, -71.1135947 42.3781304, -71.1134866 42.3781481, -71.1134692 42.3780894, -71.1135774 42.3780718))",,,,yes,,,,,,,,11,Kirkland Place,,,,,,,,,,,,,,,,"[325489963, 325489965, 325489968, 325489970, 325489963]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29530248,,,"POLYGON ((-71.1132025 42.3777594, -71.1132088 42.3777805, -71.1132827 42.3777685, -71.1132864 42.3777812, -71.113341 42.3777723, -71.1133577 42.3778291, -71.1133033 42.377838, -71.1133068 42.3778503, -71.11323 42.3778628, -71.1132359 42.3778826, -71.1131372 42.3778986, -71.1131008 42.377776, -71.1132025 42.3777594))",,,,yes,,,,,,,,9,Kirkland Place,,,,,,,,,,,,,,,,"[325490393, 325490396, 325490399, 325490401, 325490403, 325490405, 325490407, 325490409, 325490411, 325490413, 325490415, 325490417, 325490393]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29530374,,,"POLYGON ((-71.1155944 42.376534, -71.1156737 42.3767357, -71.1153309 42.3768097, -71.1152516 42.376608, -71.1155944 42.376534))",,,MA,university,7,Middlesex,1971475,57871b70-0100-4405-bb30-88b2e001a944,no,Lowell Lecture Hall,USGS Geonames,17,Kirkland Street,,,,,,,,,,,,,,,,"[325491791, 325491793, 325491795, 325491798, 325491791]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29530404,,,"POLYGON ((-71.1177896 42.3762744, -71.1179467 42.3762967, -71.1179417 42.376316, -71.1181482 42.3763453, -71.1181562 42.3763148, -71.1183785 42.3763464, -71.1183716 42.3763729, -71.1185858 42.3764033, -71.1185904 42.3763859, -71.118734 42.3764063, -71.1186908 42.3765723, -71.1177469 42.3764382, -71.1177896 42.3762744))",,,MA,university,7,Middlesex,1971459,57871b70-0100-4405-bb30-88b2e001a944,no,Littauer Center,USGS Geonames,1805,Cambridge Street,,,,,,,,,,,,,,,,"[325492115, 325492119, 325492120, 325492122, 325492125, 325492127, 325492129, 325492131, 325492133, 325492135, 325492138, 325492141, 325492115]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
