element_type,osmid,amenity,geometry,bicycle_parking,capacity,covered,check_date,access,nodes,lit,fee
node,10790624541,bicycle_parking,POINT (-122.1684827 37.4227768),,,,,,,,
node,10790624542,bicycle_parking,POINT (-122.168326 37.4226071),,,,,,,,
way,31712144,bicycle_parking,"POLYGON ((-122.1649235 37.4260527, -122.1648155 37.4260291, -122.1649033 37.4257748, -122.1650114 37.4257984, -122.1649235 37.4260527))",,,,,,"[354800638, 354800639, 354800640, 354800641, 354800638]",,
way,333521952,bicycle_parking,"POLYGON ((-122.1735447 37.428903, -122.1736301 37.4286498, -122.1734203 37.4286052, -122.1733349 37.4288584, -122.1735447 37.428903))",,,,,,"[3406439716, 3406439717, 3406439718, 3406439719, 3406439716]",,
way,333521953,bicycle_parking,"POLYGON ((-122.1732857 37.4288505, -122.173371 37.4285973, -122.1731612 37.4285527, -122.1730759 37.4288059, -122.1732857 37.4288505))",,,,,,"[3406439720, 3406439721, 3406439722, 3406439723, 3406439720]",,
way,421935141,bicycle_parking,"POLYGON ((-122.1680992 37.4284708, -122.16816 37.4282963, -122.1680674 37.428276, -122.1680067 37.4284505, -122.1680992 37.4284708))",stands,,no,,,"[4216740698, 4216740696, 4216740695, 4216740697, 4216740698]",,
way,430506906,bicycle_parking,"POLYGON ((-122.1678314 37.4290536, -122.1677445 37.4290356, -122.1678102 37.4288406, -122.1678955 37.4288605, -122.1678314 37.4290536))",rack,,,,yes,"[4297732394, 4297732395, 4297732396, 4297732397, 4297732394]",,
way,457627261,bicycle_parking,"POLYGON ((-122.166735 37.423385, -122.1668366 37.423339, -122.1668754 37.4233928, -122.1667738 37.4234389, -122.166735 37.423385))",stands,60,no,,,"[4537384825, 4537384824, 4537384823, 4537384822, 4537384825]",no,
way,457627262,bicycle_parking,"POLYGON ((-122.1672439 37.4234096, -122.1672989 37.4233847, -122.1673391 37.4234406, -122.1672841 37.4234656, -122.1672439 37.4234096))",stands,,no,,,"[4537384829, 4537384828, 4537384827, 4537384826, 4537384829]",no,
way,457627263,bicycle_parking,"POLYGON ((-122.1674368 37.4233203, -122.1674919 37.4232954, -122.1675321 37.4233513, -122.167477 37.4233763, -122.1674368 37.4233203))",stands,,no,,,"[4537384833, 4537384830, 4537384831, 4537384832, 4537384833]",no,
way,518904216,bicycle_parking,"POLYGON ((-122.1773466 37.4264029, -122.1773692 37.4263365, -122.1769475 37.426246, -122.1769249 37.4263124, -122.1773466 37.4264029))",,,,,,"[5060845971, 5060845972, 5060845973, 5060845974, 5060845971]",,
way,522207368,bicycle_parking,"POLYGON ((-122.1739092 37.4277743, -122.1737165 37.4277345, -122.1737739 37.4275592, -122.1739666 37.427599, -122.1739092 37.4277743))",,,,,,"[5086696103, 5086696104, 5086696105, 5086696106, 5086696103]",,
way,522207369,bicycle_parking,"POLYGON ((-122.1736434 37.4277165, -122.1736999 37.4275427, -122.173492 37.4275001, -122.1734355 37.4276739, -122.1736434 37.4277165))",,,,,,"[5086696107, 5086696108, 5086696109, 5086696110, 5086696107]",,
way,630635587,bicycle_parking,"POLYGON ((-122.1680116 37.4272451, -122.1679394 37.4272304, -122.167966 37.4271481, -122.1680382 37.4271628, -122.1680116 37.4272451))",rack,,no,,yes,"[5954286697, 5954286698, 5954286699, 5954286700, 5954286697]",,
way,630635588,bicycle_parking,"POLYGON ((-122.1681626 37.426792, -122.168095 37.4267782, -122.1680684 37.4268605, -122.1681361 37.4268743, -122.1681626 37.426792))",rack,,no,,yes,"[5954286701, 5954286702, 5954286703, 5954286704, 5954286701]",,
way,632250389,bicycle_parking,"POLYGON ((-122.1725443 37.4292326, -122.1724772 37.4292181, -122.172404 37.4294409, -122.1724711 37.4294554, -122.1725443 37.4292326))",rack,1,,,,"[5969769682, 5969769683, 5969769684, 5969769885, 5969769682]",,
way,632250392,bicycle_parking,"POLYGON ((-122.1720173 37.4287105, -122.1719876 37.4287042, -122.1719109 37.4289307, -122.1719406 37.428937, -122.1720173 37.4287105))",,,,,,"[5969769896, 5969769897, 5969769898, 5969769899, 5969769896]",,
way,632250984,bicycle_parking,"POLYGON ((-122.1685992 37.4271073, -122.1685211 37.4270908, -122.1688385 37.4261445, -122.1689166 37.426161, -122.1685992 37.4271073))",rack,,no,,yes,"[10884461445, 10884461444, 10884461459, 10884461458, 10884461445]",,
way,632250985,bicycle_parking,"POLYGON ((-122.1676522 37.4261426, -122.1676417 37.4261403, -122.1676315 37.4261381, -122.1674996 37.4261093, -122.1674876 37.4261067, -122.1674802 37.4261051, -122.1675035 37.4260376, -122.1675066 37.4260286, -122.1675097 37.4260197, -122.1675199 37.42599, -122.1676919 37.4260276, -122.1676817 37.4260573, -122.1676788 37.4260655, -122.167676 37.4260737, -122.1676522 37.4261426))",rack,,no,,yes,"[6226323543, 6226323559, 10881863593, 10881863596, 6226323557, 6226323542, 10881863592, 6226323548, 10881863619, 5969777504, 5969777505, 10881863648, 6226323547, 10881863604, 6226323543]",,
way,632251810,bicycle_parking,"POLYGON ((-122.1675728 37.4295403, -122.1676567 37.4295568, -122.1677239 37.4293597, -122.1676403 37.4293432, -122.1675728 37.4295403))",rack,,no,,yes,"[5969785421, 5969785422, 5969785423, 5969785424, 5969785421]",,
way,665219063,bicycle_parking,"POLYGON ((-122.1671805 37.4260422, -122.1671691 37.42604, -122.1671593 37.4260381, -122.1670259 37.426012, -122.1670148 37.4260099, -122.1670057 37.4260081, -122.167027 37.4259392, -122.167031 37.4259264, -122.167035 37.4259136, -122.1670425 37.4258893, -122.1672173 37.4259234, -122.1672076 37.4259546, -122.1672043 37.4259655, -122.1672009 37.4259763, -122.1671805 37.4260422))",,,,,,"[5555811940, 6226323553, 10881863833, 10881863830, 6226323555, 6226323539, 10881863854, 6226323551, 10881863866, 6226323540, 6226323541, 10881863865, 6226323550, 10881863835, 5555811940]",,
way,676153025,bicycle_parking,"POLYGON ((-122.1731669 37.4277533, -122.1731755 37.4277302, -122.1730577 37.4277025, -122.1730491 37.4277257, -122.1731669 37.4277533))",,,,,,"[6332196967, 6332196968, 6332196969, 6332196970, 6332196967]",,
way,676153026,bicycle_parking,"POLYGON ((-122.1731926 37.42769, -122.1731977 37.4276743, -122.17309 37.4276522, -122.1730848 37.4276678, -122.1731926 37.42769))",,,,,,"[6332196971, 6332196972, 6332196973, 6332196974, 6332196971]",,
way,676153027,bicycle_parking,"POLYGON ((-122.1724934 37.4275064, -122.1724726 37.4275021, -122.1725473 37.4272911, -122.1725627 37.4272941, -122.1724934 37.4275064))",,,,,,"[6332196975, 6332196976, 6332196977, 6332196978, 6332196975]",,
way,676153028,bicycle_parking,"POLYGON ((-122.1731027 37.4273856, -122.1731227 37.4273331, -122.1731112 37.4273303, -122.1730913 37.4273828, -122.1731027 37.4273856))",,,,,,"[6332196979, 6332196980, 6332196981, 6332196982, 6332196979]",,
way,676153029,bicycle_parking,"POLYGON ((-122.1730702 37.4273785, -122.1730885 37.4273291, -122.1730776 37.4273266, -122.1730594 37.4273759, -122.1730702 37.4273785))",,,,,,"[6332196983, 6332196984, 6332197185, 6332197186, 6332196983]",,
way,676153030,bicycle_parking,"POLYGON ((-122.1730753 37.4273222, -122.1730146 37.4272945, -122.1730177 37.4272905, -122.173078 37.4273185, -122.1730753 37.4273222))",,,,,,"[6332197187, 6332197188, 6332197189, 6332197190, 6332197187]",,
way,676153031,bicycle_parking,"POLYGON ((-122.1725907 37.4270088, -122.1726819 37.4270242, -122.1726323 37.427167, -122.1725444 37.4271489, -122.1725907 37.4270088))",,,,,,"[6332197191, 6332197192, 6332197193, 6332197194, 6332197191]",,
way,676153032,bicycle_parking,"POLYGON ((-122.1725303 37.4271946, -122.1725015 37.427266, -122.1725927 37.4272836, -122.1726202 37.4272112, -122.1725303 37.4271946))",,,,,,"[6332197195, 6332197196, 6332197197, 6332197198, 6332197195]",,
way,689423949,bicycle_parking,"POLYGON ((-122.1713155 37.428956, -122.1712623 37.4291163, -122.1712113 37.429104, -122.1711722 37.4290833, -122.1711502 37.4290478, -122.1711266 37.4290109, -122.1710885 37.4289822, -122.1710343 37.4289647, -122.1710574 37.4288958, -122.1713155 37.428956))",,,,,,"[612020217, 6467542507, 6467542508, 6467542509, 6467542510, 6467542511, 6467542512, 6467542513, 6467542514, 612020217]",,
way,689423952,bicycle_parking,"POLYGON ((-122.1684342 37.4283287, -122.168385 37.4284773, -122.1684348 37.4284876, -122.168468 37.4284859, -122.1685046 37.4284692, -122.1685599 37.4284482, -122.1686004 37.4284381, -122.1686324 37.4284364, -122.1686648 37.4284414, -122.1686872 37.4283807, -122.1684342 37.4283287))",,,,,,"[612020216, 6467542538, 6467542539, 6467542540, 6467542541, 6467542542, 6467542544, 6467542545, 6467542546, 6467542547, 612020216]",,
way,694684069,bicycle_parking,"POLYGON ((-122.1712641 37.4304659, -122.1712066 37.4304539, -122.1712499 37.4303237, -122.1713074 37.4303357, -122.1712641 37.4304659))",,,,,,"[6524008566, 6524008567, 6524008568, 6524008569, 6524008566]",,
way,694684074,bicycle_parking,"POLYGON ((-122.1729164 37.4306084, -122.173067 37.4301779, -122.1729577 37.4301591, -122.1728799 37.4303885, -122.1729137 37.4303951, -122.1729064 37.4304162, -122.172871 37.4305152, -122.1729308 37.4305284, -122.1729038 37.4306057, -122.1729164 37.4306084))",,,,,,"[6524008587, 6524008588, 6538882490, 6538882488, 6538882489, 6524008589, 6524008590, 6524008591, 6524008592, 6524008587]",,
way,694684080,bicycle_parking,"POLYGON ((-122.1709802 37.4309116, -122.1709217 37.430899, -122.1709516 37.4308113, -122.1710101 37.4308239, -122.1709802 37.4309116))",,,,,,"[6524008610, 6524008611, 6524008612, 6524008613, 6524008610]",,
way,694684081,bicycle_parking,"POLYGON ((-122.1711014 37.4309529, -122.1710433 37.4309406, -122.1710914 37.430797, -122.1711496 37.4308093, -122.1711014 37.4309529))",,,,,,"[6524008614, 6524008615, 6524008616, 6524008617, 6524008614]",,
way,694684082,bicycle_parking,"POLYGON ((-122.1711606 37.4303854, -122.1711061 37.4303745, -122.1711334 37.4302885, -122.1711879 37.4302994, -122.1711606 37.4303854))",,,,,,"[6524008618, 6524008619, 6524008620, 6524008621, 6524008618]",,
way,694964420,bicycle_parking,"POLYGON ((-122.1663755 37.4325937, -122.1662188 37.4325563, -122.1662496 37.4324751, -122.1664063 37.4325126, -122.1663755 37.4325937))",,,,,,"[6527974138, 6527974139, 6527974140, 6527974141, 6527974138]",,
way,696312596,bicycle_parking,"POLYGON ((-122.17202 37.422388, -122.1717697 37.4224473, -122.1718417 37.4225006, -122.1718932 37.4225279, -122.1719545 37.4225415, -122.1720297 37.4225445, -122.1721215 37.4225403, -122.1721984 37.4225151, -122.172251 37.4224818, -122.17202 37.422388))",,,,,,"[6538882523, 6538882524, 6538882525, 6538882526, 6538882527, 6538882528, 6538882529, 6538882530, 6538882531, 6538882523]",,
way,696868938,bicycle_parking,"POLYGON ((-122.1634127 37.4250029, -122.1633876 37.4249973, -122.16337 37.4249934, -122.1633549 37.4249901, -122.1633338 37.4249854, -122.1632856 37.4251218, -122.1633036 37.4251258, -122.1633225 37.42513, -122.1633424 37.4251344, -122.1633646 37.4251393, -122.1634127 37.4250029))",wall_loops,90,,,,"[6544470093, 6544470097, 6544470102, 6544470099, 6544470094, 6544470095, 6544470100, 6544470103, 6544470098, 6544470096, 6544470093]",,
way,696868945,bicycle_parking,"POLYGON ((-122.1627381 37.4248594, -122.1627166 37.4248549, -122.1626762 37.4248466, -122.1626515 37.4248414, -122.1626053 37.4249819, -122.1626296 37.4249869, -122.1626649 37.4249942, -122.1626919 37.4249998, -122.1627381 37.4248594))",,,,,,"[6544470108, 6544470109, 6544470110, 6544470111, 6544470112, 6544470113, 6544470106, 6544470107, 6544470108]",,
way,700064619,bicycle_parking,"POLYGON ((-122.1723178 37.4316389, -122.1722763 37.4317655, -122.1721432 37.4317379, -122.1721847 37.4316113, -122.1723178 37.4316389))",,,,,,"[6574142989, 6574142990, 6574142991, 6574142992, 6574142989]",,
way,917710379,bicycle_parking,"POLYGON ((-122.1772745 37.4256053, -122.1773607 37.4253473, -122.1773094 37.4253365, -122.1772231 37.4255944, -122.1772745 37.4256053))",,,,,,"[8523489839, 8523489840, 8523489841, 8523489842, 8523489839]",,
way,924935298,bicycle_parking,"POLYGON ((-122.1713207 37.4282901, -122.1711153 37.4282434, -122.1711578 37.4281254, -122.1712708 37.4281511, -122.1712487 37.4282126, -122.1713411 37.4282336, -122.1713207 37.4282901))",,,,,,"[8584166023, 8584166024, 8584166025, 8584166026, 8584166027, 8584166028, 8584166023]",,
way,924936860,bicycle_parking,"POLYGON ((-122.1692109 37.4261273, -122.1692179 37.4261058, -122.1694514 37.426154, -122.1694444 37.4261755, -122.1692109 37.4261273))",,,,,,"[8584171531, 8584171532, 8584171533, 8584171534, 8584171531]",,
way,924936861,bicycle_parking,"POLYGON ((-122.169796 37.4262482, -122.1698024 37.4262286, -122.1696434 37.4261959, -122.169637 37.4262155, -122.169796 37.4262482))",,,,,,"[8584171535, 8584171536, 8584171537, 8584171538, 8584171535]",,
way,924936862,bicycle_parking,"POLYGON ((-122.1756448 37.4255399, -122.1755287 37.4255137, -122.1754911 37.4256187, -122.1756071 37.4256449, -122.1756448 37.4255399))",,,,,,"[8584171539, 8584171540, 8584171541, 8584171542, 8584171539]",,
way,924936863,bicycle_parking,"POLYGON ((-122.1768166 37.4257926, -122.1770429 37.42584, -122.1770054 37.425953, -122.1767791 37.4259056, -122.1768166 37.4257926))",,,,,,"[8584171543, 8584171544, 8584171545, 8584171546, 8584171543]",,
way,924936864,bicycle_parking,"POLYGON ((-122.1792558 37.4259641, -122.1793925 37.4259924, -122.1794591 37.4257893, -122.1793224 37.425761, -122.1792558 37.4259641))",,,,,,"[8584171547, 8584171548, 8584171549, 8584171550, 8584171547]",,
way,924936865,bicycle_parking,"POLYGON ((-122.180211 37.4261174, -122.1802405 37.4260316, -122.1803548 37.4260563, -122.1803254 37.4261421, -122.180211 37.4261174))",,,,,,"[8584171551, 8584171552, 8584171553, 8584171554, 8584171551]",,
way,924936866,bicycle_parking,"POLYGON ((-122.1654159 37.4273692, -122.1653045 37.4273469, -122.1653529 37.4271945, -122.1654644 37.4272169, -122.1654159 37.4273692))",,,,,,"[8584171555, 8584171556, 8584171557, 8584171558, 8584171555]",,
way,938235609,bicycle_parking,"POLYGON ((-122.1645964 37.4252942, -122.1644284 37.4252559, -122.1643681 37.4254226, -122.1645361 37.4254609, -122.1645964 37.4252942))",stands,,no,,,"[8692045493, 8692045494, 8692045495, 8692045496, 8692045493]",,no
way,938235616,bicycle_parking,"POLYGON ((-122.164083 37.4259358, -122.1642721 37.4259552, -122.1642634 37.426009, -122.1640743 37.4259897, -122.164083 37.4259358))",,,,,,"[8692109822, 8692109823, 8692109824, 8692109825, 8692109822]",,
way,1081651276,bicycle_parking,"POLYGON ((-122.1717827 37.4311831, -122.1715546 37.4311322, -122.1715683 37.4310933, -122.1717965 37.4311443, -122.1717827 37.4311831))",,,,,,"[9913605196, 9913605197, 9913605198, 9913605199, 9913605196]",,
way,1081651277,bicycle_parking,"POLYGON ((-122.1709213 37.4306666, -122.1708776 37.4306572, -122.1709462 37.4304557, -122.1709899 37.4304651, -122.1709213 37.4306666))",,,,,,"[9913605201, 9913605202, 9913605203, 9913605204, 9913605201]",,
way,1171322647,bicycle_parking,"POLYGON ((-122.1685059 37.4271389, -122.168584 37.4271555, -122.1685006 37.4274033, -122.1684225 37.4273868, -122.1685059 37.4271389))",rack,,no,,yes,"[10884461446, 10884461447, 10884461457, 5969777499, 10884461446]",,
