element_type,osmid,amenity,geometry,bicycle_parking,covered,capacity,fee,check_date,access,type,nodes,building,area
way,761100306,bicycle_parking,"POLYGON ((-122.2554383 37.867765, -122.2553534 37.8677817, -122.2553697 37.8678429, -122.2554562 37.8678345, -122.2554383 37.867765))",shed,yes,,,,,,"[7110875480, 7110875481, 7110875482, 7110875483, 7110875480]",yes,
way,908588647,bicycle_parking,"POLYGON ((-122.2550863 37.8660581, -122.255071 37.8659883, -122.2550114 37.8660004, -122.2550214 37.8660631, -122.2550863 37.8660581))",shed,yes,,,,,,"[8436408292, 8436408293, 8436408294, 8436408295, 8436408292]",yes,
way,908588648,bicycle_parking,"POLYGON ((-122.2547561 37.8660895, -122.2547489 37.8660524, -122.2546407 37.8660574, -122.2546524 37.8661073, -122.2547561 37.8660895))",shed,yes,,,,,,"[8436408296, 8436408297, 8436408298, 8436408299, 8436408296]",yes,
way,908588718,bicycle_parking,"POLYGON ((-122.2551188 37.8678628, -122.2551108 37.8678268, -122.255004 37.8678349, -122.2550137 37.8678819, -122.2551188 37.8678628))",shed,yes,,,,,,"[8436435731, 8436435732, 8436435733, 8436435734, 8436435731]",yes,
way,1034330425,bicycle_parking,"POLYGON ((-122.258093 37.8751683, -122.2580855 37.8751446, -122.2580776 37.8751196, -122.2580199 37.875131, -122.258038 37.8751802, -122.258093 37.8751683))",,no,,,,,,"[9528477310, 9528477306, 9528477309, 9528477308, 9528477307, 9528477310]",,yes
way,1037046409,bicycle_parking,"LINESTRING (-122.2595531 37.8697775, -122.259534 37.8696946)",stands,,,,,,,"[9553475046, 9553475045]",,
way,1037046410,bicycle_parking,"POLYGON ((-122.2587653 37.8708893, -122.2589781 37.8708154, -122.2589754 37.8708106, -122.2587626 37.8708845, -122.2587653 37.8708893))",wave,no,,,,,,"[9553475048, 9553475047, 11011504047, 11011504048, 9553475048]",,
way,1037277596,bicycle_parking,"POLYGON ((-122.2574982 37.872384, -122.2574731 37.8723144, -122.2573034 37.8723526, -122.2573285 37.8724221, -122.2574982 37.872384))",stands,no,,,,,,"[9555501360, 9555501359, 9555501358, 9555501357, 9555501360]",,
way,1039493520,bicycle_parking,"LINESTRING (-122.2552814 37.8708729, -122.2552304 37.8706379)",stands,no,,,,,,"[9572164217, 9572153016]",,
way,1039493521,bicycle_parking,"LINESTRING (-122.2552787 37.8706311, -122.2553189 37.8708327)",stands,no,,,,,,"[282388076, 9572164218]",,
way,1039493522,bicycle_parking,"POLYGON ((-122.2549658 37.8701431, -122.2549982 37.8703043, -122.2549632 37.8703087, -122.2549308 37.8701475, -122.2549658 37.8701431))",stands,no,,,,,,"[3180271663, 9572164221, 9572164220, 9572164219, 3180271663]",,
way,1039493523,bicycle_parking,"POLYGON ((-122.2548028 37.8700187, -122.2547936 37.8699742, -122.2543857 37.8700271, -122.254395 37.8700716, -122.2548028 37.8700187))",stands,no,,,,,,"[3180271662, 9572164224, 9572164223, 9572164222, 3180271662]",,
